date,region,item_code,item_name,value,transformation
2011-12-31,national,D01,"1-я децильная группа (доля доходов, %)",3.9,level
2012-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.0,level
2013-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.09,level
2014-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.09,level
2015-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.15,level
2016-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.15,level
2017-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.07,level
2018-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.06,level
2019-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.09,level
2020-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.15,level
2021-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.22,level
2022-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.3,level
2023-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.11,level
2024-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.03,level
2025-12-31,national,D01,"1-я децильная группа (доля доходов, %)",4.09,level
2011-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.12,level
2012-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.18,level
2013-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.32,level
2014-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.33,level
2015-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.33,level
2016-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.35,level
2017-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.23,level
2018-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.26,level
2019-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.27,level
2020-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.27,level
2021-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.31,level
2022-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.47,level
2023-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.34,level
2024-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.25,level
2025-12-31,national,D02,"2-я децильная группа (доля доходов, %)",5.33,level
2011-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.0,level
2012-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.06,level
2013-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.19,level
2014-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.18,level
2015-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.19,level
2016-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.21,level
2017-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.1,level
2018-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.13,level
2019-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.07,level
2020-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.05,level
2021-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.02,level
2022-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.14,level
2023-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.07,level
2024-12-31,national,D03,"3-я децильная группа (доля доходов, %)",5.99,level
2025-12-31,national,D03,"3-я децильная группа (доля доходов, %)",6.05,level
2011-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.89,level
2012-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.99,level
2013-12-31,national,D04,"4-я децильная группа (доля доходов, %)",7.09,level
2014-12-31,national,D04,"4-я децильная группа (доля доходов, %)",7.05,level
2015-12-31,national,D04,"4-я децильная группа (доля доходов, %)",7.03,level
2016-12-31,national,D04,"4-я децильная группа (доля доходов, %)",7.05,level
2017-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.92,level
2018-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.89,level
2019-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.86,level
2020-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.81,level
2021-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.75,level
2022-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.84,level
2023-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.83,level
2024-12-31,national,D04,"4-я децильная группа (доля доходов, %)",6.75,level
