date,region,item_code,item_name,value,transformation
2011-01-01,national,D01,"1-я децильная группа (доля доходов, %)",3.86,"level (discrete quarter, as published)"
2011-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.02,"level (discrete quarter, as published)"
2011-07-01,national,D01,"1-я децильная группа (доля доходов, %)",3.97,"level (discrete quarter, as published)"
2011-10-01,national,D01,"1-я децильная группа (доля доходов, %)",3.93,"level (discrete quarter, as published)"
2012-01-01,national,D01,"1-я децильная группа (доля доходов, %)",3.88,"level (discrete quarter, as published)"
2012-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.01,"level (discrete quarter, as published)"
2012-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.04,"level (discrete quarter, as published)"
2012-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.02,"level (discrete quarter, as published)"
2013-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.06,"level (discrete quarter, as published)"
2013-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.09,"level (discrete quarter, as published)"
2013-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.14,"level (discrete quarter, as published)"
2013-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.09,"level (discrete quarter, as published)"
2014-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.01,"level (discrete quarter, as published)"
2014-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.15,"level (discrete quarter, as published)"
2014-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.16,"level (discrete quarter, as published)"
2014-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.12,"level (discrete quarter, as published)"
2015-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.09,"level (discrete quarter, as published)"
2015-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.22,"level (discrete quarter, as published)"
2015-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.19,"level (discrete quarter, as published)"
2015-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.13,"level (discrete quarter, as published)"
2016-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.06,"level (discrete quarter, as published)"
2016-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.19,"level (discrete quarter, as published)"
2016-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.21,"level (discrete quarter, as published)"
2016-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.02,"level (discrete quarter, as published)"
2017-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.07,"level (discrete quarter, as published)"
2018-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.09,"level (discrete quarter, as published)"
2018-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.02,"level (discrete quarter, as published)"
2018-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.07,"level (discrete quarter, as published)"
2018-10-01,national,D01,"1-я децильная группа (доля доходов, %)",3.96,"level (discrete quarter, as published)"
2019-01-01,national,D01,"1-я децильная группа (доля доходов, %)",3.95,"level (discrete quarter, as published)"
2019-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.13,"level (discrete quarter, as published)"
2019-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.19,"level (discrete quarter, as published)"
2019-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.09,"level (discrete quarter, as published)"
2020-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.07,"level (discrete quarter, as published)"
2020-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.26,"level (discrete quarter, as published)"
2020-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.21,"level (discrete quarter, as published)"
2020-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.14,"level (discrete quarter, as published)"
2021-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.3,"level (discrete quarter, as published)"
2021-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.27,"level (discrete quarter, as published)"
2021-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.19,"level (discrete quarter, as published)"
2022-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.22,"level (discrete quarter, as published)"
2022-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.29,"level (discrete quarter, as published)"
2022-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.37,"level (discrete quarter, as published)"
2022-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.3,"level (discrete quarter, as published)"
2023-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.13,"level (discrete quarter, as published)"
2023-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.12,"level (discrete quarter, as published)"
2023-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.11,"level (discrete quarter, as published)"
2023-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.08,"level (discrete quarter, as published)"
2024-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.09,"level (discrete quarter, as published)"
2024-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.07,"level (discrete quarter, as published)"
2024-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.03,"level (discrete quarter, as published)"
2024-10-01,national,D01,"1-я децильная группа (доля доходов, %)",3.91,"level (discrete quarter, as published)"
2025-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.08,"level (discrete quarter, as published)"
2025-04-01,national,D01,"1-я децильная группа (доля доходов, %)",4.1,"level (discrete quarter, as published)"
2025-07-01,national,D01,"1-я децильная группа (доля доходов, %)",4.13,"level (discrete quarter, as published)"
2025-10-01,national,D01,"1-я децильная группа (доля доходов, %)",4.08,"level (discrete quarter, as published)"
2026-01-01,national,D01,"1-я децильная группа (доля доходов, %)",4.17,"level (discrete quarter, as published)"
2011-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.15,"level (discrete quarter, as published)"
2011-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.26,"level (discrete quarter, as published)"
2011-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.15,"level (discrete quarter, as published)"
2011-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.24,"level (discrete quarter, as published)"
2012-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.15,"level (discrete quarter, as published)"
2012-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.17,"level (discrete quarter, as published)"
2012-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.17,"level (discrete quarter, as published)"
2012-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.22,"level (discrete quarter, as published)"
2013-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.39,"level (discrete quarter, as published)"
2013-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.3,"level (discrete quarter, as published)"
2013-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.27,"level (discrete quarter, as published)"
2013-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.37,"level (discrete quarter, as published)"
2014-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.37,"level (discrete quarter, as published)"
2014-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.3,"level (discrete quarter, as published)"
2014-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.31,"level (discrete quarter, as published)"
2014-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.33,"level (discrete quarter, as published)"
2015-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.32,"level (discrete quarter, as published)"
2015-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.37,"level (discrete quarter, as published)"
2015-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.31,"level (discrete quarter, as published)"
2015-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.39,"level (discrete quarter, as published)"
2016-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.4,"level (discrete quarter, as published)"
2016-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.38,"level (discrete quarter, as published)"
2016-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.32,"level (discrete quarter, as published)"
2016-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.24,"level (discrete quarter, as published)"
2017-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.29,"level (discrete quarter, as published)"
2018-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.25,"level (discrete quarter, as published)"
2018-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.19,"level (discrete quarter, as published)"
2018-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.26,"level (discrete quarter, as published)"
2018-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.15,"level (discrete quarter, as published)"
2019-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.26,"level (discrete quarter, as published)"
2019-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.28,"level (discrete quarter, as published)"
2019-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.31,"level (discrete quarter, as published)"
2019-10-01,national,D02,"2-я децильная группа (доля доходов, %)",5.25,"level (discrete quarter, as published)"
2020-01-01,national,D02,"2-я децильная группа (доля доходов, %)",5.28,"level (discrete quarter, as published)"
2020-04-01,national,D02,"2-я децильная группа (доля доходов, %)",5.33,"level (discrete quarter, as published)"
2020-07-01,national,D02,"2-я децильная группа (доля доходов, %)",5.26,"level (discrete quarter, as published)"
