date,region,item_code,item_name,value,transformation
1990-12-31,national,05,Добыча угля,95.9,level
1991-12-31,national,05,Добыча угля,99.2,level
1992-12-31,national,05,Добыча угля,97.0,level
1993-12-31,national,05,Добыча угля,88.0,level
1994-12-31,national,05,Добыча угля,93.3,level
1995-12-31,national,05,Добыча угля,79.7,level
1996-12-31,national,05,Добыча угля,92.2,level
1997-12-31,national,05,Добыча угля,94.6,level
1998-12-31,national,05,Добыча угля,95.9,level
1999-12-31,national,05,Добыча угля,83.7,level
2000-12-31,national,05,Добыча угля,128.3,level
2001-12-31,national,05,Добыча угля,105.6,level
2002-12-31,national,05,Добыча угля,93.1,level
2003-12-31,national,05,Добыча угля,114.7,level
2004-12-31,national,05,Добыча угля,102.4,level
2005-12-31,national,05,Добыча угля,99.5,level
2006-12-31,national,05,Добыча угля,111.2,level
2007-12-31,national,05,Добыча угля,96.1,level
2008-12-31,national,05,Добыча угля,120.0,level
2009-12-31,national,05,Добыча угля,90.8,level
2010-12-31,national,05,Добыча угля,104.4,level
2011-12-31,national,05,Добыча угля,106.0,level
2012-12-31,national,05,Добыча угля,101.8,level
2013-12-31,national,05,Добыча угля,100.0,level
2014-12-31,national,05,Добыча угля,98.1,level
2015-12-31,national,05,Добыча угля,92.8,level
2016-12-31,national,05,Добыча угля,95.4,level
2017-12-31,national,05,Добыча угля,105.2,level
2018-12-31,national,05,Добыча угля,104.6,level
2019-12-31,national,05,Добыча угля,97.2,level
2020-12-31,national,05,Добыча угля,96.7,level
2021-12-31,national,05,Добыча угля,102.6,level
2022-12-31,national,05,Добыча угля,99.8,level
2023-12-31,national,05,Добыча угля,93.2,level
2024-12-31,national,05,Добыча угля,103.4,level
2025-12-31,national,05,Добыча угля,109.8,level
1990-12-31,national,06,Добыча сырой нефти и природного газа,102.5,level
1991-12-31,national,06,Добыча сырой нефти и природного газа,102.6,level
1992-12-31,national,06,Добыча сырой нефти и природного газа,98.8,level
1993-12-31,national,06,Добыча сырой нефти и природного газа,89.0,level
1994-12-31,national,06,Добыча сырой нефти и природного газа,91.1,level
1995-12-31,national,06,Добыча сырой нефти и природного газа,100.8,level
1996-12-31,national,06,Добыча сырой нефти и природного газа,114.3,level
1997-12-31,national,06,Добыча сырой нефти и природного газа,111.5,level
1998-12-31,national,06,Добыча сырой нефти и природного газа,101.3,level
1999-12-31,national,06,Добыча сырой нефти и природного газа,114.6,level
2000-12-31,national,06,Добыча сырой нефти и природного газа,116.4,level
2001-12-31,national,06,Добыча сырой нефти и природного газа,114.9,level
2002-12-31,national,06,Добыча сырой нефти и природного газа,116.8,level
2003-12-31,national,06,Добыча сырой нефти и природного газа,108.6,level
2004-12-31,national,06,Добыча сырой нефти и природного газа,113.3,level
2005-12-31,national,06,Добыча сырой нефти и природного газа,103.0,level
2006-12-31,national,06,Добыча сырой нефти и природного газа,106.1,level
2007-12-31,national,06,Добыча сырой нефти и природного газа,102.6,level
2008-12-31,national,06,Добыча сырой нефти и природного газа,105.4,level
2009-12-31,national,06,Добыча сырой нефти и природного газа,108.2,level
2010-12-31,national,06,Добыча сырой нефти и природного газа,105.8,level
2011-12-31,national,06,Добыча сырой нефти и природного газа,100.6,level
2012-12-31,national,06,Добыча сырой нефти и природного газа,99.0,level
2013-12-31,national,06,Добыча сырой нефти и природного газа,103.3,level
2014-12-31,national,06,Добыча сырой нефти и природного газа,98.9,level
2015-12-31,national,06,Добыча сырой нефти и природного газа,98.4,level
2016-12-31,national,06,Добыча сырой нефти и природного газа,98.3,level
2017-12-31,national,06,Добыча сырой нефти и природного газа,110.6,level
2018-12-31,national,06,Добыча сырой нефти и природного газа,104.8,level
2019-12-31,national,06,Добыча сырой нефти и природного газа,100.2,level
2020-12-31,national,06,Добыча сырой нефти и природного газа,95.0,level
2021-12-31,national,06,Добыча сырой нефти и природного газа,100.2,level
2022-12-31,national,06,Добыча сырой нефти и природного газа,98.1,level
2023-12-31,national,06,Добыча сырой нефти и природного газа,106.69538567321938,level
2024-12-31,national,06,Добыча сырой нефти и природного газа,97.5,level
2025-12-31,national,06,Добыча сырой нефти и природного газа,113.5,level
1990-12-31,national,06.1,Добыча сырой нефти,101.5,level
1991-12-31,national,06.1,Добыча сырой нефти,102.6,level
1992-12-31,national,06.1,Добыча сырой нефти,98.9,level
1993-12-31,national,06.1,Добыча сырой нефти,89.0,level
1994-12-31,national,06.1,Добыча сырой нефти,91.9,level
1995-12-31,national,06.1,Добыча сырой нефти,100.3,level
1996-12-31,national,06.1,Добыча сырой нефти,115.2,level
1997-12-31,national,06.1,Добыча сырой нефти,111.4,level
1998-12-31,national,06.1,Добыча сырой нефти,101.7,level
1999-12-31,national,06.1,Добыча сырой нефти,114.1,level
2000-12-31,national,06.1,Добыча сырой нефти,116.2,level
2001-12-31,national,06.1,Добыча сырой нефти,115.1,level
2002-12-31,national,06.1,Добыча сырой нефти,117.4,level
2003-12-31,national,06.1,Добыча сырой нефти,108.4,level
2004-12-31,national,06.1,Добыча сырой нефти,113.2,level
2005-12-31,national,06.1,Добыча сырой нефти,102.9,level
2006-12-31,national,06.1,Добыча сырой нефти,106.1,level
2007-12-31,national,06.1,Добыча сырой нефти,102.6,level
2008-12-31,national,06.1,Добыча сырой нефти,105.3,level
2009-12-31,national,06.1,Добыча сырой нефти,108.2,level
2010-12-31,national,06.1,Добыча сырой нефти,105.8,level
2011-12-31,national,06.1,Добыча сырой нефти,100.5,level
2012-12-31,national,06.1,Добыча сырой нефти,98.9,level
2013-12-31,national,06.1,Добыча сырой нефти,103.2,level
2014-12-31,national,06.1,Добыча сырой нефти,98.8,level
2015-12-31,national,06.1,Добыча сырой нефти,98.3,level
2016-12-31,national,06.1,Добыча сырой нефти,98.2,level
2017-12-31,national,06.1,Добыча сырой нефти,110.5,level
2018-12-31,national,06.1,Добыча сырой нефти,104.8,level
2019-12-31,national,06.1,Добыча сырой нефти,100.2,level
2020-12-31,national,06.1,Добыча сырой нефти,94.6,level
2021-12-31,national,06.1,Добыча сырой нефти,100.3,level
2022-12-31,national,06.1,Добыча сырой нефти,98.1,level
2023-12-31,national,06.1,Добыча сырой нефти,106.8,level
2024-12-31,national,06.1,Добыча сырой нефти,97.5,level
2025-12-31,national,06.1,Добыча сырой нефти,113.5,level
1990-12-31,national,06.2,Добыча природного газа,117.7,level
1991-12-31,national,06.2,Добыча природного газа,102.5,level
1992-12-31,national,06.2,Добыча природного газа,93.8,level
1993-12-31,national,06.2,Добыча природного газа,90.2,level
1994-12-31,national,06.2,Добыча природного газа,61.8,level
1995-12-31,national,06.2,Добыча природного газа,125.9,level
1996-12-31,national,06.2,Добыча природного газа,86.5,level
1997-12-31,national,06.2,Добыча природного газа,117.5,level
1998-12-31,national,06.2,Добыча природного газа,87.6,level
1999-12-31,national,06.2,Добыча природного газа,135.0,level
2000-12-31,national,06.2,Добыча природного газа,125.0,level
2001-12-31,national,06.2,Добыча природного газа,101.5,level
2002-12-31,national,06.2,Добыча природного газа,82.3,level
2003-12-31,national,06.2,Добыча природного газа,116.9,level
2004-12-31,national,06.2,Добыча природного газа,120.7,level
2005-12-31,national,06.2,Добыча природного газа,105.3,level
2006-12-31,national,06.2,Добыча природного газа,104.6,level
2007-12-31,national,06.2,Добыча природного газа,104.5,level
2008-12-31,national,06.2,Добыча природного газа,115.1,level
2009-12-31,national,06.2,Добыча природного газа,105.5,level
2010-12-31,national,06.2,Добыча природного газа,106.2,level
2011-12-31,national,06.2,Добыча природного газа,105.8,level
2012-12-31,national,06.2,Добыча природного газа,106.3,level
2013-12-31,national,06.2,Добыча природного газа,103.7,level
2014-12-31,national,06.2,Добыча природного газа,107.6,level
2015-12-31,national,06.2,Добыча природного газа,107.1,level
