date,region,item_code,item_name,value,transformation
2022-12-31,ABY,TOTAL,Инвестиции в основной капитал,414497.0,level
2023-12-31,ABY,TOTAL,Инвестиции в основной капитал,527391.0,level
2024-12-31,ABY,TOTAL,Инвестиции в основной капитал,559740.0,level
2025-12-31,ABY,TOTAL,Инвестиции в основной капитал,654239.0,level
2003-12-31,AKM,TOTAL,Инвестиции в основной капитал,15809.0,level
2004-12-31,AKM,TOTAL,Инвестиции в основной капитал,24428.0,level
2005-12-31,AKM,TOTAL,Инвестиции в основной капитал,38189.0,level
2006-12-31,AKM,TOTAL,Инвестиции в основной капитал,44059.0,level
2007-12-31,AKM,TOTAL,Инвестиции в основной капитал,103071.0,level
2008-12-31,AKM,TOTAL,Инвестиции в основной капитал,142549.0,level
2009-12-31,AKM,TOTAL,Инвестиции в основной капитал,149532.0,level
2010-12-31,AKM,TOTAL,Инвестиции в основной капитал,106864.0,level
2011-12-31,AKM,TOTAL,Инвестиции в основной капитал,122793.0,level
2012-12-31,AKM,TOTAL,Инвестиции в основной капитал,143782.0,level
2013-12-31,AKM,TOTAL,Инвестиции в основной капитал,141716.0,level
2014-12-31,AKM,TOTAL,Инвестиции в основной капитал,181328.0,level
2015-12-31,AKM,TOTAL,Инвестиции в основной капитал,199021.0,level
2016-12-31,AKM,TOTAL,Инвестиции в основной капитал,223045.0,level
2017-12-31,AKM,TOTAL,Инвестиции в основной капитал,264892.0,level
2018-12-31,AKM,TOTAL,Инвестиции в основной капитал,278177.0,level
2019-12-31,AKM,TOTAL,Инвестиции в основной капитал,333723.0,level
2020-12-31,AKM,TOTAL,Инвестиции в основной капитал,436633.0,level
2021-12-31,AKM,TOTAL,Инвестиции в основной капитал,514683.0,level
2022-12-31,AKM,TOTAL,Инвестиции в основной капитал,579973.0,level
2023-12-31,AKM,TOTAL,Инвестиции в основной капитал,613526.0,level
2024-12-31,AKM,TOTAL,Инвестиции в основной капитал,585509.0,level
2025-12-31,AKM,TOTAL,Инвестиции в основной капитал,957185.0,level
2003-12-31,AKT,TOTAL,Инвестиции в основной капитал,115842.0,level
2004-12-31,AKT,TOTAL,Инвестиции в основной капитал,130987.0,level
