date,region,item_code,item_name,value,transformation
2003-12-31,national,A,"Сельское, лесное и рыбное хозяйство",25123.0,level
2004-12-31,national,A,"Сельское, лесное и рыбное хозяйство",44110.0,level
2005-12-31,national,A,"Сельское, лесное и рыбное хозяйство",49030.0,level
2006-12-31,national,A,"Сельское, лесное и рыбное хозяйство",44059.0,level
2007-12-31,national,A,"Сельское, лесное и рыбное хозяйство",52647.0,level
2008-12-31,national,A,"Сельское, лесное и рыбное хозяйство",73587.0,level
2009-12-31,national,A,"Сельское, лесное и рыбное хозяйство",77544.0,level
2010-12-31,national,A,"Сельское, лесное и рыбное хозяйство",83586.0,level
2011-12-31,national,A,"Сельское, лесное и рыбное хозяйство",109424.0,level
2012-12-31,national,A,"Сельское, лесное и рыбное хозяйство",133945.0,level
2013-12-31,national,A,"Сельское, лесное и рыбное хозяйство",139627.0,level
2014-12-31,national,A,"Сельское, лесное и рыбное хозяйство",173281.0,level
2015-12-31,national,A,"Сельское, лесное и рыбное хозяйство",163907.0,level
2016-12-31,national,A,"Сельское, лесное и рыбное хозяйство",253691.0,level
2017-12-31,national,A,"Сельское, лесное и рыбное хозяйство",348481.0,level
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",365001.0,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",494976.0,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",565369.0,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",772475.0,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",850346.0,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",904264.0,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",737891.0,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1153599.0,level
2003-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,546889.0,level
2004-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,535963.0,level
2005-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,785078.0,level
2006-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,909827.0,level
2007-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1096146.0,level
2008-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1061160.0,level
2009-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1493091.0,level
2010-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1651953.0,level
2011-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1593634.0,level
2012-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1599703.0,level
2013-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1769433.0,level
2014-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1984974.0,level
2015-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2296567.0,level
2016-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2730134.0,level
2017-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2960272.0,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4493990.0,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5550068.0,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3953710.0,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3708909.0,level
2022-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4458972.0,level
2023-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,4478397.0,level
2024-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3645454.0,level
2025-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,3348818.0,level
2003-12-31,national,C,Обрабатывающая промышленность,123594.0,level
2004-12-31,national,C,Обрабатывающая промышленность,178175.0,level
2005-12-31,national,C,Обрабатывающая промышленность,271305.0,level
2006-12-31,national,C,Обрабатывающая промышленность,308811.0,level
