date,region,item_code,item_name,value,transformation
2022-06-01,ABY,A,"Сельское, лесное и рыбное хозяйство",105.4,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2022-07-01,ABY,A,"Сельское, лесное и рыбное хозяйство",104.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2022-08-01,ABY,A,"Сельское, лесное и рыбное хозяйство",108.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2022-09-01,ABY,A,"Сельское, лесное и рыбное хозяйство",103.1,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2022-10-01,ABY,A,"Сельское, лесное и рыбное хозяйство",100.7,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2022-11-01,ABY,A,"Сельское, лесное и рыбное хозяйство",100.1,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2022-12-01,ABY,A,"Сельское, лесное и рыбное хозяйство",98.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-01-01,ABY,A,"Сельское, лесное и рыбное хозяйство",101.3,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-02-01,ABY,A,"Сельское, лесное и рыбное хозяйство",101.6,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-03-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.9,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-04-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.7,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-05-01,ABY,A,"Сельское, лесное и рыбное хозяйство",103.4,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-06-01,ABY,A,"Сельское, лесное и рыбное хозяйство",103.2,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-07-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.8,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-08-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.1,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-09-01,ABY,A,"Сельское, лесное и рыбное хозяйство",100.2,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-10-01,ABY,A,"Сельское, лесное и рыбное хозяйство",101.7,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-11-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.9,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2023-12-01,ABY,A,"Сельское, лесное и рыбное хозяйство",103.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2024-01-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2024-02-01,ABY,A,"Сельское, лесное и рыбное хозяйство",100.7,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2024-03-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.3,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2024-04-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.7,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2024-05-01,ABY,A,"Сельское, лесное и рыбное хозяйство",102.2,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
