date,region,item_code,item_name,value,transformation
2021-01-01,national,TOTAL,Краткосрочный экономический индикатор,4651.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-02-01,national,TOTAL,Краткосрочный экономический индикатор,9587.8,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-03-01,national,TOTAL,Краткосрочный экономический индикатор,15279.0,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-04-01,national,TOTAL,Краткосрочный экономический индикатор,20921.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-05-01,national,TOTAL,Краткосрочный экономический индикатор,26762.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-06-01,national,TOTAL,Краткосрочный экономический индикатор,33626.9,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-07-01,national,TOTAL,Краткосрочный экономический индикатор,40050.0,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-08-01,national,TOTAL,Краткосрочный экономический индикатор,46928.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-09-01,national,TOTAL,Краткосрочный экономический индикатор,56262.5,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-10-01,national,TOTAL,Краткосрочный экономический индикатор,63847.9,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-11-01,national,TOTAL,Краткосрочный экономический индикатор,71301.9,"level (year-to-date cumulative, as published -- not decumulated to months)"
2021-12-01,national,TOTAL,Краткосрочный экономический индикатор,79685.0,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-01-01,national,TOTAL,Краткосрочный экономический индикатор,5888.6,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-02-01,national,TOTAL,Краткосрочный экономический индикатор,12353.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-03-01,national,TOTAL,Краткосрочный экономический индикатор,19924.8,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-04-01,national,TOTAL,Краткосрочный экономический индикатор,26790.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-05-01,national,TOTAL,Краткосрочный экономический индикатор,34089.8,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-06-01,national,TOTAL,Краткосрочный экономический индикатор,42369.5,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-07-01,national,TOTAL,Краткосрочный экономический индикатор,50415.6,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-08-01,national,TOTAL,Краткосрочный экономический индикатор,59118.8,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-09-01,national,TOTAL,Краткосрочный экономический индикатор,70070.6,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-10-01,national,TOTAL,Краткосрочный экономический индикатор,78484.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-11-01,national,TOTAL,Краткосрочный экономический индикатор,87042.4,"level (year-to-date cumulative, as published -- not decumulated to months)"
2022-12-01,national,TOTAL,Краткосрочный экономический индикатор,96344.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-01-01,national,TOTAL,Краткосрочный экономический индикатор,6509.9,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-02-01,national,TOTAL,Краткосрочный экономический индикатор,12909.8,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-03-01,national,TOTAL,Краткосрочный экономический индикатор,20622.2,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-04-01,national,TOTAL,Краткосрочный экономический индикатор,28067.9,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-05-01,national,TOTAL,Краткосрочный экономический индикатор,35239.0,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-06-01,national,TOTAL,Краткосрочный экономический индикатор,43707.4,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-07-01,national,TOTAL,Краткосрочный экономический индикатор,51453.5,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-08-01,national,TOTAL,Краткосрочный экономический индикатор,60022.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-09-01,national,TOTAL,Краткосрочный экономический индикатор,70828.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-10-01,national,TOTAL,Краткосрочный экономический индикатор,80208.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-11-01,national,TOTAL,Краткосрочный экономический индикатор,89111.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2023-12-01,national,TOTAL,Краткосрочный экономический индикатор,99294.6,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-01-01,national,TOTAL,Краткосрочный экономический индикатор,6738.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-02-01,national,TOTAL,Краткосрочный экономический индикатор,13665.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-03-01,national,TOTAL,Краткосрочный экономический индикатор,21578.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-04-01,national,TOTAL,Краткосрочный экономический индикатор,29153.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-05-01,national,TOTAL,Краткосрочный экономический индикатор,36972.6,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-06-01,national,TOTAL,Краткосрочный экономический индикатор,45531.2,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-07-01,national,TOTAL,Краткосрочный экономический индикатор,54216.9,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-08-01,national,TOTAL,Краткосрочный экономический индикатор,63635.8,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-09-01,national,TOTAL,Краткосрочный экономический индикатор,75354.6,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-10-01,national,TOTAL,Краткосрочный экономический индикатор,85642.8,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-11-01,national,TOTAL,Краткосрочный экономический индикатор,95754.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2024-12-01,national,TOTAL,Краткосрочный экономический индикатор,108260.5,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-01-01,national,TOTAL,Краткосрочный экономический индикатор,7935.6,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-02-01,national,TOTAL,Краткосрочный экономический индикатор,16381.4,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-03-01,national,TOTAL,Краткосрочный экономический индикатор,25818.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-04-01,national,TOTAL,Краткосрочный экономический индикатор,34913.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-05-01,national,TOTAL,Краткосрочный экономический индикатор,44180.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-06-01,national,TOTAL,Краткосрочный экономический индикатор,55227.8,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-07-01,national,TOTAL,Краткосрочный экономический индикатор,65872.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-08-01,national,TOTAL,Краткосрочный экономический индикатор,77257.4,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-09-01,national,TOTAL,Краткосрочный экономический индикатор,91400.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-10-01,national,TOTAL,Краткосрочный экономический индикатор,103678.7,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-11-01,national,TOTAL,Краткосрочный экономический индикатор,115980.3,"level (year-to-date cumulative, as published -- not decumulated to months)"
2025-12-01,national,TOTAL,Краткосрочный экономический индикатор,130800.5,"level (year-to-date cumulative, as published -- not decumulated to months)"
2026-01-01,national,TOTAL,Краткосрочный экономический индикатор,8101.4,"level (year-to-date cumulative, as published -- not decumulated to months)"
2026-02-01,national,TOTAL,Краткосрочный экономический индикатор,17193.0,"level (year-to-date cumulative, as published -- not decumulated to months)"
2026-03-01,national,TOTAL,Краткосрочный экономический индикатор,28640.0,"level (year-to-date cumulative, as published -- not decumulated to months)"
2026-04-01,national,TOTAL,Краткосрочный экономический индикатор,39998.0,"level (year-to-date cumulative, as published -- not decumulated to months)"
2026-05-01,national,TOTAL,Краткосрочный экономический индикатор,51833.6,"level (year-to-date cumulative, as published -- not decumulated to months)"
2026-06-01,national,TOTAL,Краткосрочный экономический индикатор,65531.0,"level (year-to-date cumulative, as published -- not decumulated to months)"
2026-07-01,national,TOTAL,Краткосрочный экономический индикатор,77101.4,"level (year-to-date cumulative, as published -- not decumulated to months)"
2026-08-01,national,TOTAL,Краткосрочный экономический индикатор,90054.5,"level (year-to-date cumulative, as published -- not decumulated to months)"
