date,region,item_code,item_name,value,transformation
2021-12-31,national,ARM,Армения,10484.59235,level
2021-12-31,national,BLR,Беларусь,780733.46803,level
2021-12-31,national,KGZ,Кыргызстан,375776.99792,level
2021-12-31,national,RUS,Россия,17605534.20124,level
2021-12-31,national,AZE,Азербайджан,44357.31453,level
2021-12-31,national,MDA,"Молдова, Республика",13211.52639,level
2021-12-31,national,TJK,Таджикистан,363522.7611,level
2021-12-31,national,TKM,Туркменистан,42851.98792,level
2021-12-31,national,UKR,Украина,450914.76634,level
2021-12-31,national,UZB,Узбекистан,1057042.96316,level
2021-12-31,national,AUT,Австрия,159833.04812,level
2021-12-31,national,BEL,Бельгия,155500.23358,level
2021-12-31,national,BGR,Болгария,35880.52,level
2021-12-31,national,CYP,Кипр,432.57234,level
2021-12-31,national,CZE,Чешская Республика,165465.47347,level
2021-12-31,national,DEU,Германия,1814829.68599,level
2021-12-31,national,DNK,Дания,99260.74432,level
2021-12-31,national,EST,Эстония,14230.60991,level
2021-12-31,national,ESP,Испания,195003.54374,level
2021-12-31,national,FIN,Финляндия,145461.68331,level
2021-12-31,national,FRA,Франция,664764.12912,level
2021-12-31,national,GBR,Соединенное Королевство,308926.9101,level
2021-12-31,national,GRC,Греция,24809.27031,level
2021-12-31,national,HRV,Хорватия,19136.46462,level
2021-12-31,national,HUN,Венгрия,123261.69256,level
2021-12-31,national,IRL,Ирландия,139365.76162,level
2021-12-31,national,ITA,Италия,786301.6605,level
2021-12-31,national,LTU,Литва,97569.24747,level
2021-12-31,national,LUX,Люксембург,4036.06458,level
2021-12-31,national,LVA,Республика Латвия,24335.31196,level
2021-12-31,national,MLT,Мальта,358.1383,level
2021-12-31,national,NLD,Нидерланды,227626.11786,level
2021-12-31,national,POL,Польша,371299.10854,level
2021-12-31,national,PRT,Португалия,19929.87842,level
2021-12-31,national,ROU,Румыния,48414.85039,level
2021-12-31,national,SWE,Швеция,172357.60138,level
2021-12-31,national,SVN,Словения,62806.65963,level
2021-12-31,national,SVK,Словакия,82763.64668,level
2021-12-31,national,AND,Андорра,0.01016,level
2021-12-31,national,ALB,Албания,426.95868,level
2021-12-31,national,BIH,Босния И Герцеговина,704.31475,level
2021-12-31,national,CHE,Швейцария,218195.25569,level
2021-12-31,national,FRO,Фарерские Острова,81.79914,level
2021-12-31,national,GGY,Гернси,0.11193,level
2021-12-31,national,GIB,Гибралтар (Брит.),1.59862,level
2021-12-31,national,IMN,Остров Мэн,0.09808,level
2021-12-31,national,IOT,Британская Территория В Индийском Океане,0.02237,level
2021-12-31,national,ISL,Исландия,7579.04793,level
2021-12-31,national,JEY,Джерси,0.0263,level
2021-12-31,national,LIE,Лихтенштейн,1201.05838,level
2021-12-31,national,MCO,Монако,32.83529,level
2021-12-31,national,MNE,Черногория (Монтенегро),166.76215,level
2021-12-31,national,MKD,Македония,1529.10692,level
2021-12-31,national,NOR,Норвегия,78399.80896,level
2021-12-31,national,SRB,Сербия,19151.73796,level
2021-12-31,national,SMR,Сан-Марино,488.50561,level
2021-12-31,national,ARE,Объединенные Арабские Эмираты,75141.77809,level
2021-12-31,national,AFG,Афганистан,4957.54986,level
2021-12-31,national,BGD,Бангладеш,31213.72227,level
2021-12-31,national,BHR,Бахрейн,176.56251,level
2021-12-31,national,BRN,Бруней-Даруссалам,0.0,level
2021-12-31,national,CHN,Китай,8228456.85318,level
2021-12-31,national,GEO,Грузия,59934.80595,level
2021-12-31,national,HKG,Гонконг,15363.82144,level
2021-12-31,national,IDN,Индонезия,39978.01018,level
