date,region,item_code,item_name,value,transformation
2012-12-31,national,ABW,Aruba,7.5,level
2013-12-31,national,ABW,Aruba,10.0,level
2004-12-31,national,AFG,Afghanistan,3.33333333333333,level
2008-12-31,national,AFG,Afghanistan,5.0,level
2010-12-31,national,AFG,Afghanistan,3.8125,level
2011-12-31,national,AFG,Afghanistan,1.65,level
2012-12-31,national,AFG,Afghanistan,4.79454694475446,level
2013-12-31,national,AFG,Afghanistan,5.99026317834854,level
2014-12-31,national,AFG,Afghanistan,5.27886194839246,level
2015-12-31,national,AFG,Afghanistan,4.03988225643451,level
2016-12-31,national,AFG,Afghanistan,2.15909090909091,level
2017-12-31,national,AFG,Afghanistan,3.58232547929793,level
2018-12-31,national,AFG,Afghanistan,2.16897211202349,level
2019-12-31,national,AFG,Afghanistan,3.25466174200604,level
2020-12-31,national,AFG,Afghanistan,2.89948057215952,level
2021-12-31,national,AFG,Afghanistan,6.16729983687401,level
2022-12-31,national,AFG,Afghanistan,4.46595976563325,level
2023-12-31,national,AFG,Afghanistan,3.26036418520886,level
2008-12-31,national,AGO,Angola,7.3655913875949,level
2010-12-31,national,AGO,Angola,7.1459573507309,level
2011-12-31,national,AGO,Angola,10.0,level
2013-12-31,national,AGO,Angola,9.54545497894287,level
2016-12-31,national,AGO,Angola,3.25,level
2018-12-31,national,AGO,Angola,7.44878438538547,level
2019-12-31,national,AGO,Angola,7.83154658534367,level
2020-12-31,national,AGO,Angola,7.19715681890816,level
2022-12-31,national,AGO,Angola,5.64329230537017,level
2023-12-31,national,AGO,Angola,10.0,level
2004-12-31,national,AIA,Anguila,0.666666666666667,level
2008-12-31,national,AIA,Anguila,4.28787873008034,level
2010-12-31,national,AIA,Anguila,8.20075758298238,level
2011-12-31,national,AIA,Anguila,5.82589280605316,level
2012-12-31,national,AIA,Anguila,13.2345779158852,level
2013-12-31,national,AIA,Anguila,7.66918497819167,level
2014-12-31,national,AIA,Anguila,5.97961216926575,level
2015-12-31,national,AIA,Anguila,1.75,level
2016-12-31,national,AIA,Anguila,10.0,level
2017-12-31,national,AIA,Anguila,8.7715277671814,level
2018-12-31,national,AIA,Anguila,0.0,level
2019-12-31,national,AIA,Anguila,0.0,level
2022-12-31,national,AIA,Anguila,7.59681957960129,level
2023-12-31,national,AIA,Anguila,6.21794859568278,level
2004-12-31,national,ALB,Albania,2.5,level
2008-12-31,national,ALB,Albania,7.22222222222222,level
2010-12-31,national,ALB,Albania,9.80442183358329,level
2011-12-31,national,ALB,Albania,9.78618421052632,level
2012-12-31,national,ALB,Albania,9.84756097560976,level
2013-12-31,national,ALB,Albania,10.0657894736842,level
2014-12-31,national,ALB,Albania,9.2047074010874,level
2015-12-31,national,ALB,Albania,8.35013126706084,level
