date,region,item_code,item_name,value,transformation
2022-01-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,120.30000000000001,as published: year-to-date period in % of the same period of 2022
2023-04-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,118.30000000000001,as published: year-to-date period in % of the same period of 2022
2023-07-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,108.59999999999998,as published: year-to-date period in % of the same period of 2022
2023-10-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,104.7,as published: year-to-date period in % of the same period of 2022
2024-01-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,121.503,as published: year-to-date period in % of the same period of 2022
2024-04-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,122.3,as published: year-to-date period in % of the same period of 2022
2024-07-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,113.5,as published: year-to-date period in % of the same period of 2022
2024-10-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,105.7,as published: year-to-date period in % of the same period of 2022
2025-01-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,115.9,as published: year-to-date period in % of the same period of 2022
2025-04-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,119.7,as published: year-to-date period in % of the same period of 2022
2025-07-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,109.3,as published: year-to-date period in % of the same period of 2022
2025-10-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,107.4,as published: year-to-date period in % of the same period of 2022
2026-01-01,ABY,PRODUCTIVITY_INDEX,Индекс производительности труда,123.0,as published: year-to-date period in % of the same period of 2022
2022-01-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,105.80000000000001,as published: year-to-date period in % of the same period of 2022
2023-04-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,106.5,as published: year-to-date period in % of the same period of 2022
2023-07-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,90.1,as published: year-to-date period in % of the same period of 2022
2023-10-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,103.4,as published: year-to-date period in % of the same period of 2022
2024-01-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,108.86820000000003,as published: year-to-date period in % of the same period of 2022
2024-04-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,109.3,as published: year-to-date period in % of the same period of 2022
2024-07-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,103.8,as published: year-to-date period in % of the same period of 2022
2024-10-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,106.4,as published: year-to-date period in % of the same period of 2022
2025-01-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,106.9,as published: year-to-date period in % of the same period of 2022
2025-04-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,108.9,as published: year-to-date period in % of the same period of 2022
2025-07-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,98.4,as published: year-to-date period in % of the same period of 2022
2025-10-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,113.7,as published: year-to-date period in % of the same period of 2022
2026-01-01,AKM,PRODUCTIVITY_INDEX,Индекс производительности труда,101.0,as published: year-to-date period in % of the same period of 2022
2022-01-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,96.5,as published: year-to-date period in % of the same period of 2022
2023-04-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,94.3,as published: year-to-date period in % of the same period of 2022
2023-07-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,91.8,as published: year-to-date period in % of the same period of 2022
2023-10-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,96.5,as published: year-to-date period in % of the same period of 2022
2024-01-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,103.25500000000001,as published: year-to-date period in % of the same period of 2022
2024-04-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,97.3,as published: year-to-date period in % of the same period of 2022
2024-07-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,89.3,as published: year-to-date period in % of the same period of 2022
2024-10-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,103.3,as published: year-to-date period in % of the same period of 2022
2025-01-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,94.1,as published: year-to-date period in % of the same period of 2022
2025-04-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,91.8,as published: year-to-date period in % of the same period of 2022
2025-07-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,89.0,as published: year-to-date period in % of the same period of 2022
2025-10-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,108.2,as published: year-to-date period in % of the same period of 2022
2026-01-01,AKT,PRODUCTIVITY_INDEX,Индекс производительности труда,96.3,as published: year-to-date period in % of the same period of 2022
2022-01-01,ALA,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,ALA,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,ALA,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,ALA,PRODUCTIVITY_INDEX,Индекс производительности труда,100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,ALA,PRODUCTIVITY_INDEX,Индекс производительности труда,110.4,as published: year-to-date period in % of the same period of 2022
