date,region,item_code,item_name,value,transformation
2022-01-01,national,A,"Сельское, лесное и рыбное хозяйство",100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,national,A,"Сельское, лесное и рыбное хозяйство",100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,national,A,"Сельское, лесное и рыбное хозяйство",100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,national,A,"Сельское, лесное и рыбное хозяйство",100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,national,A,"Сельское, лесное и рыбное хозяйство",113.5,as published: year-to-date period in % of the same period of 2022
2023-04-01,national,A,"Сельское, лесное и рыбное хозяйство",114.3,as published: year-to-date period in % of the same period of 2022
2023-07-01,national,A,"Сельское, лесное и рыбное хозяйство",99.9,as published: year-to-date period in % of the same period of 2022
2023-10-01,national,A,"Сельское, лесное и рыбное хозяйство",101.4,as published: year-to-date period in % of the same period of 2022
2024-01-01,national,A,"Сельское, лесное и рыбное хозяйство",118.9,as published: year-to-date period in % of the same period of 2022
2024-04-01,national,A,"Сельское, лесное и рыбное хозяйство",123.4,as published: year-to-date period in % of the same period of 2022
2024-07-01,national,A,"Сельское, лесное и рыбное хозяйство",116.7,as published: year-to-date period in % of the same period of 2022
2024-10-01,national,A,"Сельское, лесное и рыбное хозяйство",118.8,as published: year-to-date period in % of the same period of 2022
2025-01-01,national,A,"Сельское, лесное и рыбное хозяйство",131.5,as published: year-to-date period in % of the same period of 2022
2025-04-01,national,A,"Сельское, лесное и рыбное хозяйство",137.3,as published: year-to-date period in % of the same period of 2022
2025-07-01,national,A,"Сельское, лесное и рыбное хозяйство",131.6,as published: year-to-date period in % of the same period of 2022
2025-10-01,national,A,"Сельское, лесное и рыбное хозяйство",132.9,as published: year-to-date period in % of the same period of 2022
2026-01-01,national,A,"Сельское, лесное и рыбное хозяйство",134.9,as published: year-to-date period in % of the same period of 2022
2022-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,98.8,as published: year-to-date period in % of the same period of 2022
2023-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,103.3,as published: year-to-date period in % of the same period of 2022
2023-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,105.1,as published: year-to-date period in % of the same period of 2022
2023-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,103.8,as published: year-to-date period in % of the same period of 2022
2024-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.2,as published: year-to-date period in % of the same period of 2022
2024-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,102.7,as published: year-to-date period in % of the same period of 2022
2024-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,101.6,as published: year-to-date period in % of the same period of 2022
2024-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,101.6,as published: year-to-date period in % of the same period of 2022
2025-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,102.5,as published: year-to-date period in % of the same period of 2022
2025-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,106.1,as published: year-to-date period in % of the same period of 2022
2025-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,106.5,as published: year-to-date period in % of the same period of 2022
2025-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,108.7,as published: year-to-date period in % of the same period of 2022
2026-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,87.7,as published: year-to-date period in % of the same period of 2022
2022-01-01,national,C,Обрабатывающая промышленность,100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,national,C,Обрабатывающая промышленность,100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,national,C,Обрабатывающая промышленность,100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,national,C,Обрабатывающая промышленность,100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,national,C,Обрабатывающая промышленность,101.2,as published: year-to-date period in % of the same period of 2022
2023-04-01,national,C,Обрабатывающая промышленность,100.3,as published: year-to-date period in % of the same period of 2022
2023-07-01,national,C,Обрабатывающая промышленность,101.7,as published: year-to-date period in % of the same period of 2022
2023-10-01,national,C,Обрабатывающая промышленность,105.4,as published: year-to-date period in % of the same period of 2022
2024-01-01,national,C,Обрабатывающая промышленность,107.5,as published: year-to-date period in % of the same period of 2022
2024-04-01,national,C,Обрабатывающая промышленность,102.3,as published: year-to-date period in % of the same period of 2022
2024-07-01,national,C,Обрабатывающая промышленность,101.4,as published: year-to-date period in % of the same period of 2022
2024-10-01,national,C,Обрабатывающая промышленность,108.9,as published: year-to-date period in % of the same period of 2022
2025-01-01,national,C,Обрабатывающая промышленность,115.1,as published: year-to-date period in % of the same period of 2022
2025-04-01,national,C,Обрабатывающая промышленность,107.2,as published: year-to-date period in % of the same period of 2022
2025-07-01,national,C,Обрабатывающая промышленность,107.2,as published: year-to-date period in % of the same period of 2022
2025-10-01,national,C,Обрабатывающая промышленность,117.0,as published: year-to-date period in % of the same period of 2022
2026-01-01,national,C,Обрабатывающая промышленность,124.5,as published: year-to-date period in % of the same period of 2022
2022-01-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",99.3,as published: year-to-date period in % of the same period of 2022
2023-04-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",103.4,as published: year-to-date period in % of the same period of 2022
2023-07-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",100.9,as published: year-to-date period in % of the same period of 2022
2023-10-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",104.9,as published: year-to-date period in % of the same period of 2022
2024-01-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",109.6,as published: year-to-date period in % of the same period of 2022
2024-04-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",105.3,as published: year-to-date period in % of the same period of 2022
2024-07-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",103.1,as published: year-to-date period in % of the same period of 2022
2024-10-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",102.2,as published: year-to-date period in % of the same period of 2022
2025-01-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",100.1,as published: year-to-date period in % of the same period of 2022
2025-04-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",103.9,as published: year-to-date period in % of the same period of 2022
2025-07-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",106.1,as published: year-to-date period in % of the same period of 2022
2025-10-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",102.4,as published: year-to-date period in % of the same period of 2022
2026-01-01,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",99.2,as published: year-to-date period in % of the same period of 2022
2022-01-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",97.9,as published: year-to-date period in % of the same period of 2022
2023-04-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",98.3,as published: year-to-date period in % of the same period of 2022
2023-07-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",99.0,as published: year-to-date period in % of the same period of 2022
2023-10-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",95.5,as published: year-to-date period in % of the same period of 2022
2024-01-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",98.6,as published: year-to-date period in % of the same period of 2022
2024-04-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",94.1,as published: year-to-date period in % of the same period of 2022
2024-07-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",91.5,as published: year-to-date period in % of the same period of 2022
2024-10-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",97.6,as published: year-to-date period in % of the same period of 2022
2025-01-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",90.9,as published: year-to-date period in % of the same period of 2022
2025-04-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",93.4,as published: year-to-date period in % of the same period of 2022
2025-07-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",88.4,as published: year-to-date period in % of the same period of 2022
2025-10-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",96.5,as published: year-to-date period in % of the same period of 2022
2026-01-01,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",109.3,as published: year-to-date period in % of the same period of 2022
2022-01-01,national,F,Строительство,100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,national,F,Строительство,100.0,as published: year-to-date period in % of the same period of 2022
2022-07-01,national,F,Строительство,100.0,as published: year-to-date period in % of the same period of 2022
2022-10-01,national,F,Строительство,100.0,as published: year-to-date period in % of the same period of 2022
2023-01-01,national,F,Строительство,119.0,as published: year-to-date period in % of the same period of 2022
2023-04-01,national,F,Строительство,112.9,as published: year-to-date period in % of the same period of 2022
2023-07-01,national,F,Строительство,112.8,as published: year-to-date period in % of the same period of 2022
2023-10-01,national,F,Строительство,118.1,as published: year-to-date period in % of the same period of 2022
2024-01-01,national,F,Строительство,134.6,as published: year-to-date period in % of the same period of 2022
2024-04-01,national,F,Строительство,124.0,as published: year-to-date period in % of the same period of 2022
2024-07-01,national,F,Строительство,123.9,as published: year-to-date period in % of the same period of 2022
2024-10-01,national,F,Строительство,131.4,as published: year-to-date period in % of the same period of 2022
2025-01-01,national,F,Строительство,157.3,as published: year-to-date period in % of the same period of 2022
2025-04-01,national,F,Строительство,147.6,as published: year-to-date period in % of the same period of 2022
2025-07-01,national,F,Строительство,144.7,as published: year-to-date period in % of the same period of 2022
2025-10-01,national,F,Строительство,159.5,as published: year-to-date period in % of the same period of 2022
2026-01-01,national,F,Строительство,179.2,as published: year-to-date period in % of the same period of 2022
2022-01-01,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,100.0,as published: year-to-date period in % of the same period of 2022
2022-04-01,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,100.0,as published: year-to-date period in % of the same period of 2022
