date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",102.3,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",102.8,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",95.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",88.3,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",101.1,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",101.9,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",112.3,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",132.2,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",99.8,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",97.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",94.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",83.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",105.1,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",106.7,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",110.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",116.6,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",110.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",109.5,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",109.0,as published: year-to-date period in % of the same period of the previous year -- not converted to discrete periods
