date,region,item_code,item_name,value,transformation
2013-12-31,national,A,"Сельское, лесное и рыбное хозяйство",3.56,level
2014-12-31,national,A,"Сельское, лесное и рыбное хозяйство",3.34,level
2015-12-31,national,A,"Сельское, лесное и рыбное хозяйство",3.36,level
2016-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2.45,level
2017-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2.47,level
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2.37,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2.21,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2.59,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2.54,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2.52,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1.88,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1.73,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1.79,level
2013-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1.99,level
2014-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,1.97,level
2015-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.02,level
2016-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.05,level
2017-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.42,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.37,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.21,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.1,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.08,level
2022-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.14,level
2023-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.15,level
2024-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.14,level
2025-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,0.0,level
2013-12-31,national,C,Обрабатывающая промышленность,2.27,level
2014-12-31,national,C,Обрабатывающая промышленность,2.22,level
2015-12-31,national,C,Обрабатывающая промышленность,1.31,level
2016-12-31,national,C,Обрабатывающая промышленность,1.22,level
2017-12-31,national,C,Обрабатывающая промышленность,1.76,level
2018-12-31,national,C,Обрабатывающая промышленность,1.58,level
2019-12-31,national,C,Обрабатывающая промышленность,1.42,level
2020-12-31,national,C,Обрабатывающая промышленность,1.29,level
2021-12-31,national,C,Обрабатывающая промышленность,1.46,level
2022-12-31,national,C,Обрабатывающая промышленность,1.43,level
2023-12-31,national,C,Обрабатывающая промышленность,1.27,level
2024-12-31,national,C,Обрабатывающая промышленность,1.17,level
2025-12-31,national,C,Обрабатывающая промышленность,0.95,level
2013-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.27,level
2014-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.23,level
2015-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.02,level
2016-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.02,level
2017-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.13,level
2018-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.17,level
2019-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.12,level
2020-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.07,level
2021-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.14,level
2022-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.24,level
2023-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.1,level
2024-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.05,level
2025-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",0.0,level
2013-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",0.05,level
2014-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",0.04,level
2015-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",0.01,level
2016-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",0.01,level
