date,region,item_code,item_name,value,transformation
2022-12-31,ABY,NOE_SHARE,Доля ненаблюдаемой экономики,19.15,level
2023-12-31,ABY,NOE_SHARE,Доля ненаблюдаемой экономики,17.95,level
2024-12-31,ABY,NOE_SHARE,Доля ненаблюдаемой экономики,16.59,level
2025-12-31,ABY,NOE_SHARE,Доля ненаблюдаемой экономики,12.16,level
2013-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,60.65,level
2014-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,53.98,level
2015-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,36.84,level
2016-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,28.65,level
2017-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,31.52,level
2018-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,30.55,level
2019-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,24.09,level
2020-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,16.7,level
2021-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,16.61,level
2022-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,16.97,level
2023-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,19.43,level
2024-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,16.57,level
2025-12-31,AKM,NOE_SHARE,Доля ненаблюдаемой экономики,13.92,level
2013-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,18.35,level
2014-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,22.04,level
2015-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,25.65,level
2016-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,24.27,level
2017-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,28.33,level
2018-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,25.34,level
2019-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,23.14,level
2020-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,19.59,level
2021-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,18.49,level
2022-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,18.09,level
2023-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,18.35,level
2024-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,17.26,level
2025-12-31,AKT,NOE_SHARE,Доля ненаблюдаемой экономики,16.41,level
2013-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,26.77,level
2014-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,24.51,level
2015-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,34.73,level
2016-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,36.86,level
2017-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,35.11,level
2018-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,33.99,level
2019-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,29.26,level
2020-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,28.29,level
2021-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,28.49,level
2022-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,21.83,level
2023-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,17.56,level
2024-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,16.78,level
2025-12-31,ALA,NOE_SHARE,Доля ненаблюдаемой экономики,16.69,level
2013-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,52.49,level
2014-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,37.38,level
2015-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,32.28,level
2016-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,29.6,level
2017-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,33.0,level
2018-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,32.51,level
2019-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,30.85,level
2020-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,23.1,level
2021-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,22.05,level
2022-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,21.88,level
2023-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,20.52,level
2024-12-31,ALM,NOE_SHARE,Доля ненаблюдаемой экономики,20.25,level
