date,region,item_code,item_name,value,transformation
2022-12-31,ABY,A,"Сельское, лесное и рыбное хозяйство",567085.1,level
2023-12-31,ABY,A,"Сельское, лесное и рыбное хозяйство",486199.9,level
2024-12-31,ABY,A,"Сельское, лесное и рыбное хозяйство",511990.8,level
2025-12-31,ABY,A,"Сельское, лесное и рыбное хозяйство",666524.4,level
2022-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",1275402.4,level
2023-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",799930.3,level
2024-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",1062093.7,level
2025-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",1364744.4,level
2022-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",536942.5,level
2023-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",416061.5,level
2024-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",419853.0,level
2025-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",488071.8,level
2022-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",8028.0,level
2023-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",6535.4,level
2024-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",9410.5,level
2025-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",35122.5,level
2022-12-31,ALM,A,"Сельское, лесное и рыбное хозяйство",914400.5,level
2023-12-31,ALM,A,"Сельское, лесное и рыбное хозяйство",789688.4,level
2024-12-31,ALM,A,"Сельское, лесное и рыбное хозяйство",792095.9,level
2025-12-31,ALM,A,"Сельское, лесное и рыбное хозяйство",948725.5,level
2022-12-31,AST,A,"Сельское, лесное и рыбное хозяйство",11989.4,level
2023-12-31,AST,A,"Сельское, лесное и рыбное хозяйство",4327.7,level
2024-12-31,AST,A,"Сельское, лесное и рыбное хозяйство",5661.5,level
2025-12-31,AST,A,"Сельское, лесное и рыбное хозяйство",17537.0,level
2022-12-31,ATY,A,"Сельское, лесное и рыбное хозяйство",181381.8,level
2023-12-31,ATY,A,"Сельское, лесное и рыбное хозяйство",154996.4,level
2024-12-31,ATY,A,"Сельское, лесное и рыбное хозяйство",151759.1,level
2025-12-31,ATY,A,"Сельское, лесное и рыбное хозяйство",168197.6,level
2022-12-31,KRG,A,"Сельское, лесное и рыбное хозяйство",561574.4,level
2023-12-31,KRG,A,"Сельское, лесное и рыбное хозяйство",499909.6,level
