date,region,item_code,item_name,value,transformation
2010-01-01,national,EXPORTS,экспорт товаров и услуг,2364901.9,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-04-01,national,EXPORTS,экспорт товаров и услуг,2427385.1,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-07-01,national,EXPORTS,экспорт товаров и услуг,2424166.1,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-10-01,national,EXPORTS,экспорт товаров и услуг,2654030.1,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-01-01,national,EXPORTS,экспорт товаров и услуг,3748719.5,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-04-01,national,EXPORTS,экспорт товаров и услуг,3379475.6,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-07-01,national,EXPORTS,экспорт товаров и услуг,3234494.4,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-10-01,national,EXPORTS,экспорт товаров и услуг,3374540.3,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-01-01,national,EXPORTS,экспорт товаров и услуг,3584728.5,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-04-01,national,EXPORTS,экспорт товаров и услуг,3335793.1,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-07-01,national,EXPORTS,экспорт товаров и услуг,3387723.7,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-10-01,national,EXPORTS,экспорт товаров и услуг,3524087.2,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-01-01,national,EXPORTS,экспорт товаров и услуг,3448784.2,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-04-01,national,EXPORTS,экспорт товаров и услуг,3382880.1,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-07-01,national,EXPORTS,экспорт товаров и услуг,3563006.4,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-10-01,national,EXPORTS,экспорт товаров и услуг,3934023.1,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-01-01,national,EXPORTS,экспорт товаров и услуг,3601948.2,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-04-01,national,EXPORTS,экспорт товаров и услуг,3864098.6,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-07-01,national,EXPORTS,экспорт товаров и услуг,3554434.5,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-10-01,national,EXPORTS,экспорт товаров и услуг,2856678.5,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-01-01,national,EXPORTS,экспорт товаров и услуг,2418119.9,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-04-01,national,EXPORTS,экспорт товаров и услуг,2400019.0,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-07-01,national,EXPORTS,экспорт товаров и услуг,2430710.3,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-10-01,national,EXPORTS,экспорт товаров и услуг,3294568.8,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-01-01,national,EXPORTS,экспорт товаров и услуг,3306888.9,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-04-01,national,EXPORTS,экспорт товаров и услуг,3600334.1,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-07-01,national,EXPORTS,экспорт товаров и услуг,3738286.9,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-10-01,national,EXPORTS,экспорт товаров и услуг,4138134.9,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-01-01,national,EXPORTS,экспорт товаров и услуг,4081082.4,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-04-01,national,EXPORTS,экспорт товаров и услуг,4175589.1,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-07-01,national,EXPORTS,экспорт товаров и услуг,4728807.9,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-10-01,national,EXPORTS,экспорт товаров и услуг,5355133.0,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-01-01,national,EXPORTS,экспорт товаров и услуг,5321818.8,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-04-01,national,EXPORTS,экспорт товаров и услуг,5765482.2,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-07-01,national,EXPORTS,экспорт товаров и услуг,6082943.9,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-10-01,national,EXPORTS,экспорт товаров и услуг,5732053.5,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-01-01,national,EXPORTS,экспорт товаров и услуг,6282402.6,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
