date,region,item_code,item_name,value,transformation
2011-01-01,national,EXPORTS,экспорт товаров и услуг,134.6555325092121,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-04-01,national,EXPORTS,экспорт товаров и услуг,101.01625981940326,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-07-01,national,EXPORTS,экспорт товаров и услуг,89.4093711316705,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-10-01,national,EXPORTS,экспорт товаров и услуг,89.67441909208924,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-01-01,national,EXPORTS,экспорт товаров и услуг,82.2480638224536,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-04-01,national,EXPORTS,экспорт товаров и услуг,98.99396411902389,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-07-01,national,EXPORTS,экспорт товаров и услуг,118.9066031574039,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-10-01,national,EXPORTS,экспорт товаров и услуг,113.48547673362027,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-01-01,national,EXPORTS,экспорт товаров и услуг,95.09896259784166,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-04-01,national,EXPORTS,экспорт товаров и услуг,100.20325031652844,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-07-01,national,EXPORTS,экспорт товаров и услуг,102.87356230373923,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-10-01,national,EXPORTS,экспорт товаров и услуг,108.50091266143453,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-01-01,national,EXPORTS,экспорт товаров и услуг,107.13577805772557,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-04-01,national,EXPORTS,экспорт товаров и услуг,116.22717943526668,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-07-01,national,EXPORTS,экспорт товаров и услуг,97.57914489288397,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-10-01,national,EXPORTS,экспорт товаров и услуг,71.94608356199839,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-01-01,national,EXPORTS,экспорт товаров и услуг,73.72803002183957,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-04-01,national,EXPORTS,экспорт товаров и услуг,69.72076811664824,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-07-01,national,EXPORTS,экспорт товаров и услуг,75.85877718694483,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-10-01,national,EXPORTS,экспорт товаров и услуг,121.66276081000755,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-01-01,national,EXPORTS,экспорт товаров и услуг,125.47051300004097,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-04-01,national,EXPORTS,экспорт товаров и услуг,114.89361842415585,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-07-01,national,EXPORTS,экспорт товаров и услуг,105.53459561918554,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-10-01,national,EXPORTS,экспорт товаров и услуг,86.04427390284485,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-01-01,national,EXPORTS,экспорт товаров и услуг,85.40000149131505,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-04-01,national,EXPORTS,экспорт товаров и услуг,100.8714611760978,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-07-01,national,EXPORTS,экспорт товаров и услуг,123.24195145527008,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-10-01,national,EXPORTS,экспорт товаров и услуг,119.12751869515375,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-01-01,national,EXPORTS,экспорт товаров и услуг,119.3208412354446,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-04-01,national,EXPORTS,экспорт товаров и услуг,115.76673677993367,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-07-01,national,EXPORTS,экспорт товаров и услуг,100.5802698227045,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-10-01,national,EXPORTS,экспорт товаров и услуг,87.0422526314716,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-01-01,national,EXPORTS,экспорт товаров и услуг,102.35525027265797,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-04-01,national,EXPORTS,экспорт товаров и услуг,93.09701641351542,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-07-01,national,EXPORTS,экспорт товаров и услуг,102.21153933078483,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-10-01,national,EXPORTS,экспорт товаров и услуг,117.36785101713257,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-01-01,national,EXPORTS,экспорт товаров и услуг,83.79674079841756,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-04-01,national,EXPORTS,экспорт товаров и услуг,91.082162497722,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-07-01,national,EXPORTS,экспорт товаров и услуг,88.14675521445032,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-10-01,national,EXPORTS,экспорт товаров и услуг,93.65808947458245,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-01-01,national,EXPORTS,экспорт товаров и услуг,109.38215067960753,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-04-01,national,EXPORTS,экспорт товаров и услуг,111.55115586589845,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-07-01,national,EXPORTS,экспорт товаров и услуг,98.82604180583121,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-10-01,national,EXPORTS,экспорт товаров и услуг,99.11678065063764,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-01-01,national,EXPORTS,экспорт товаров и услуг,114.85355411754458,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-04-01,national,EXPORTS,экспорт товаров и услуг,97.92899556084875,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-07-01,national,EXPORTS,экспорт товаров и услуг,114.79481399021601,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-10-01,national,EXPORTS,экспорт товаров и услуг,112.17821953001588,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2023-01-01,national,EXPORTS,экспорт товаров и услуг,94.99089408483115,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2023-04-01,national,EXPORTS,экспорт товаров и услуг,112.1852961671763,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2023-07-01,national,EXPORTS,экспорт товаров и услуг,107.71401675030306,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2023-10-01,national,EXPORTS,экспорт товаров и услуг,93.73345026050369,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2024-01-01,national,EXPORTS,экспорт товаров и услуг,94.43911818981684,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2024-04-01,national,EXPORTS,экспорт товаров и услуг,94.34470420777599,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2024-07-01,national,EXPORTS,экспорт товаров и услуг,101.48471780784334,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2024-10-01,national,EXPORTS,экспорт товаров и услуг,110.16948971448782,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2025-01-01,national,EXPORTS,экспорт товаров и услуг,103.14720626312817,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
