date,region,item_code,item_name,value,transformation
2010-01-01,national,COMPENSATION,Оплата труда,1513668.3073274684,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-04-01,national,COMPENSATION,Оплата труда,1782884.056244319,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-07-01,national,COMPENSATION,Оплата труда,1967251.6219005503,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-10-01,national,COMPENSATION,Оплата труда,2044066.414527663,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-01-01,national,COMPENSATION,Оплата труда,1905790.580496951,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-04-01,national,COMPENSATION,Оплата труда,2113186.3654433144,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-07-01,national,COMPENSATION,Оплата труда,2377382.547748673,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-10-01,national,COMPENSATION,Оплата труда,2666103.406311061,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-01-01,national,COMPENSATION,Оплата труда,2152416.9520819276,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-04-01,national,COMPENSATION,Оплата труда,2403971.2316057845,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-07-01,national,COMPENSATION,Оплата труда,2604203.192864514,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-10-01,national,COMPENSATION,Оплата труда,2912113.3234477732,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-01-01,national,COMPENSATION,Оплата труда,2473918.300333366,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-04-01,national,COMPENSATION,Оплата труда,2692582.6218587616,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-07-01,national,COMPENSATION,Оплата труда,2968441.2360311095,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-10-01,national,COMPENSATION,Оплата труда,3146444.841776762,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-01-01,national,COMPENSATION,Оплата труда,2651462.7673059744,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-04-01,national,COMPENSATION,Оплата труда,3060264.0167351877,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-07-01,national,COMPENSATION,Оплата труда,3269850.961890148,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-10-01,national,COMPENSATION,Оплата труда,3567546.954068691,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-01-01,national,COMPENSATION,Оплата труда,2779652.999819389,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-04-01,national,COMPENSATION,Оплата труда,3198507.0872576237,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-07-01,national,COMPENSATION,Оплата труда,3407358.982716582,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-10-01,national,COMPENSATION,Оплата труда,3793723.130206406,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-01-01,national,COMPENSATION,Оплата труда,3218971.929076696,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-04-01,national,COMPENSATION,Оплата труда,3526583.3851369764,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-07-01,national,COMPENSATION,Оплата труда,3836176.3449931033,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-10-01,national,COMPENSATION,Оплата труда,4329672.840793224,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-01-01,national,COMPENSATION,Оплата труда,3574846.3150173975,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-04-01,national,COMPENSATION,Оплата труда,3807830.058490116,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-07-01,national,COMPENSATION,Оплата труда,4171941.619012064,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-10-01,national,COMPENSATION,Оплата труда,4670114.507480424,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-01-01,national,COMPENSATION,Оплата труда,3952732.1869408675,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-04-01,national,COMPENSATION,Оплата труда,4375873.678077011,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-07-01,national,COMPENSATION,Оплата труда,4659483.710146711,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-10-01,national,COMPENSATION,Оплата труда,5229100.224835411,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-01-01,national,COMPENSATION,Оплата труда,4559745.229411367,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-04-01,national,COMPENSATION,Оплата труда,4982094.433225187,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-07-01,national,COMPENSATION,Оплата труда,5233455.088905174,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-10-01,national,COMPENSATION,Оплата труда,5771020.248458271,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2020-01-01,national,COMPENSATION,Оплата труда,4956528.477171913,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2020-04-01,national,COMPENSATION,Оплата труда,4897093.992349067,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2020-07-01,national,COMPENSATION,Оплата труда,5411963.650680188,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2020-10-01,national,COMPENSATION,Оплата труда,6305412.979798832,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2021-01-01,national,COMPENSATION,Оплата труда,5636651.5751769785,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2021-04-01,national,COMPENSATION,Оплата труда,6198622.093855559,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2021-07-01,national,COMPENSATION,Оплата труда,6497830.41364052,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2021-10-01,national,COMPENSATION,Оплата труда,7384183.717326942,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2022-01-01,national,COMPENSATION,Оплата труда,6952547.590580461,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2022-04-01,national,COMPENSATION,Оплата труда,7520132.534092098,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2022-07-01,national,COMPENSATION,Оплата труда,7876580.422753513,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2022-10-01,national,COMPENSATION,Оплата труда,8758139.452573929,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2023-01-01,national,COMPENSATION,Оплата труда,8051126.034612577,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2023-04-01,national,COMPENSATION,Оплата труда,8910454.540454125,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2023-07-01,national,COMPENSATION,Оплата труда,9346582.370434795,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2023-10-01,national,COMPENSATION,Оплата труда,10513214.3544985,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2024-01-01,national,COMPENSATION,Оплата труда,8949589.512153368,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2024-04-01,national,COMPENSATION,Оплата труда,9974579.520653535,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2024-07-01,national,COMPENSATION,Оплата труда,11025501.845814606,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2024-10-01,national,COMPENSATION,Оплата труда,12453452.42137849,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2025-01-01,national,COMPENSATION,Оплата труда,10598420.604261324,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2025-04-01,national,COMPENSATION,Оплата труда,11758929.396456795,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2025-07-01,national,COMPENSATION,Оплата труда,12705206.23419924,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2025-10-01,national,COMPENSATION,Оплата труда,14321538.465082642,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2026-01-01,national,COMPENSATION,Оплата труда,11582702.996261587,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-01-01,national,GDP,Валовой внутренний продукт,4988685.554750744,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-04-01,national,GDP,Валовой внутренний продукт,5546029.27813243,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-07-01,national,GDP,Валовой внутренний продукт,6270494.891819028,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-10-01,national,GDP,Валовой внутренний продукт,7069103.075297798,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-01-01,national,GDP,Валовой внутренний продукт,6484297.5849538185,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-04-01,national,GDP,Валовой внутренний продукт,7082745.402476071,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-07-01,national,GDP,Валовой внутренний продукт,7957591.795787388,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-10-01,national,GDP,Валовой внутренний продукт,8561870.51678272,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-01-01,national,GDP,Валовой внутренний продукт,7152554.0796553865,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-04-01,national,GDP,Валовой внутренний продукт,7812599.809389366,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-07-01,national,GDP,Валовой внутренний продукт,8517237.220265005,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-10-01,national,GDP,Валовой внутренний продукт,9349787.09069024,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-01-01,national,GDP,Валовой внутренний продукт,8145259.251254946,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-04-01,national,GDP,Валовой внутренний продукт,8837174.84728526,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-07-01,national,GDP,Валовой внутренний продукт,9818280.157582788,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-10-01,national,GDP,Валовой внутренний продукт,10418345.04387701,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-01-01,national,GDP,Валовой внутренний продукт,8842321.954864502,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-04-01,national,GDP,Валовой внутренний продукт,9972433.088213053,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-07-01,national,GDP,Валовой внутренний продукт,10764043.244234983,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-10-01,national,GDP,Валовой внутренний продукт,11312298.112687465,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-01-01,national,GDP,Валовой внутренний продукт,8867831.358953852,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-04-01,national,GDP,Валовой внутренний продукт,10056862.701934364,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-07-01,national,GDP,Валовой внутренний продукт,10841656.212708656,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-10-01,national,GDP,Валовой внутренний продукт,11781510.926403131,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-01-01,national,GDP,Валовой внутренний продукт,10248858.004698064,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-04-01,national,GDP,Валовой внутренний продукт,11229608.110477725,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-07-01,national,GDP,Валовой внутренний продукт,12105583.268268552,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-10-01,national,GDP,Валовой внутренний продукт,13444347.716555657,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-01-01,national,GDP,Валовой внутренний продукт,11557524.940323409,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-04-01,national,GDP,Валовой внутренний продукт,12400570.661957119,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-07-01,national,GDP,Валовой внутренний продукт,13699270.225338738,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-10-01,national,GDP,Валовой внутренний продукт,15284409.872380733,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-01-01,national,GDP,Валовой внутренний продукт,12839144.168606225,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-04-01,national,GDP,Валовой внутренний продукт,14560288.73661162,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-07-01,national,GDP,Валовой внутренний продукт,15661260.91898843,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-10-01,national,GDP,Валовой внутренний продукт,16994938.275793727,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-01-01,national,GDP,Валовой внутренний продукт,14637077.025237978,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-04-01,national,GDP,Валовой внутренний продукт,16342751.696159568,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-07-01,national,GDP,Валовой внутренний продукт,17413491.85990476,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-10-01,national,GDP,Валовой внутренний продукт,19105693.318697695,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2020-01-01,national,GDP,Валовой внутренний продукт,15751261.61062284,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
