date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",101264.639902818,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",173194.03590937087,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",517005.5078527217,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",302480.38260799344,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",107392.32768176544,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",173220.11069522804,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",613009.905964887,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",432647.47862048005,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",101742.01976826873,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",151912.6381147253,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",560759.4733153967,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",316101.90127405146,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",103368.75515860211,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",161749.44246549616,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",584367.9738402214,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",384233.56094782206,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",112724.6051357965,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",166397.42793963177,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",596192.2377323647,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-10-01,national,A,"Сельское, лесное и рыбное хозяйство",373274.38834771357,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-01-01,national,A,"Сельское, лесное и рыбное хозяйство",115086.40286581207,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-04-01,national,A,"Сельское, лесное и рыбное хозяйство",171689.6597467063,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-07-01,national,A,"Сельское, лесное и рыбное хозяйство",621974.9878616988,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-10-01,national,A,"Сельское, лесное и рыбное хозяйство",383828.9063648188,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-01-01,national,A,"Сельское, лесное и рыбное хозяйство",119288.63051964012,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-04-01,national,A,"Сельское, лесное и рыбное хозяйство",177212.6480367748,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-07-01,national,A,"Сельское, лесное и рыбное хозяйство",669480.7764129716,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2016-10-01,national,A,"Сельское, лесное и рыбное хозяйство",395393.4262573237,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-01-01,national,A,"Сельское, лесное и рыбное хозяйство",127329.00631797413,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-04-01,national,A,"Сельское, лесное и рыбное хозяйство",188568.0603137543,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-07-01,national,A,"Сельское, лесное и рыбное хозяйство",712524.5150189715,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2017-10-01,national,A,"Сельское, лесное и рыбное хозяйство",375838.02704554936,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-01-01,national,A,"Сельское, лесное и рыбное хозяйство",132994.0382709287,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-04-01,national,A,"Сельское, лесное и рыбное хозяйство",197898.47144463958,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-07-01,national,A,"Сельское, лесное и рыбное хозяйство",709320.6762709467,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2018-10-01,national,A,"Сельское, лесное и рыбное хозяйство",416922.34776088165,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2019-01-01,national,A,"Сельское, лесное и рыбное хозяйство",141763.6800742531,"level at average 2010 prices (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
