date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",250653.24973685664,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",303169.7225931919,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",281623.3363802672,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",270865.63988894376,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",315462.69729730836,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",332991.904917554,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",374901.6244198062,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",488326.1734729259,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",352614.5193237839,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",367583.7576321011,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",354684.30246970843,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",423373.1089632597,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",405868.3177021054,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",403482.2211684191,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",440195.84272373724,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",463531.12248120696,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",463235.426818086,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",468783.96616661554,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",465789.6752907381,"seasonally and calendar adjusted (X13-ARIMA-SEATS, JDemetra+ 2.2.4), discrete quarter, as published; quarterly national accounts vintage -- see metadata"
