date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",278838.7980120798,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",314455.54476243746,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",263073.01211854356,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",269800.7492555287,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",295705.6013408852,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",314752.2308653349,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",312679.5738331307,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",383820.9392486963,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",280299.1787891799,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",277118.65384614136,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",286963.91789160616,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",278096.5935089821,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",285085.5557476663,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",296939.6717592765,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",299957.26814189286,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",335190.648766788,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",311062.9294268204,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",307469.5747162417,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",306554.0616910279,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2014-10-01,national,A,"Сельское, лесное и рыбное хозяйство",323919.64056590095,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2015-01-01,national,A,"Сельское, лесное и рыбное хозяйство",317155.2746257265,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2015-04-01,national,A,"Сельское, лесное и рыбное хозяйство",318526.8675477716,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2015-07-01,national,A,"Сельское, лесное и рыбное хозяйство",319803.5539162951,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2015-10-01,national,A,"Сельское, лесное и рыбное хозяйство",333067.67840115185,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
2016-01-01,national,A,"Сельское, лесное и рыбное хозяйство",327554.902374555,"seasonally and calendar adjusted, average 2010 prices, discrete quarter, as published; quarterly national accounts vintage -- see metadata"
