date,region,item_code,item_name,value,transformation
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",106.05116236509416,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",100.01505524466837,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",118.56931824786552,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",143.03323570612503,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",94.73862981139564,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",87.69919237726839,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",91.47641300065986,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",73.06223123776417,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",101.59888254040807,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",106.4753034855086,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",104.21009392587581,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",121.55370132199944,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",109.05094577451321,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",102.87357124901813,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",102.02342777521486,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-10-01,national,A,"Сельское, лесное и рыбное хозяйство",97.14778361029303,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-01-01,national,A,"Сельское, лесное и рыбное хозяйство",102.09519272848226,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-04-01,national,A,"Сельское, лесное и рыбное хозяйство",103.18047692960405,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-07-01,national,A,"Сельское, лесное и рыбное хозяйство",104.32456991177872,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-10-01,national,A,"Сельское, лесное и рыбное хозяйство",102.82754947742986,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-01-01,national,A,"Сельское, лесное и рыбное хозяйство",103.65136762396489,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-04-01,national,A,"Сельское, лесное и рыбное хозяйство",103.21684386713594,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-07-01,national,A,"Сельское, лесное и рыбное хозяйство",107.63789372215656,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-10-01,national,A,"Сельское, лесное и рыбное хозяйство",103.01293615481715,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-01-01,national,A,"Сельское, лесное и рыбное хозяйство",106.74027001844924,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-04-01,national,A,"Сельское, лесное и рыбное хозяйство",106.40778883605591,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-07-01,national,A,"Сельское, лесное и рыбное хозяйство",106.42942114583559,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-10-01,national,A,"Сельское, лесное и рыбное хозяйство",95.05419212532694,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-01-01,national,A,"Сельское, лесное и рыбное хозяйство",104.44912916292418,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-04-01,national,A,"Сельское, лесное и рыбное хозяйство",104.94803367832314,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-07-01,national,A,"Сельское, лесное и рыбное хозяйство",99.55035389232334,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-10-01,national,A,"Сельское, лесное и рыбное хозяйство",110.93139005605548,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-01-01,national,A,"Сельское, лесное и рыбное хозяйство",106.59401121835201,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-04-01,national,A,"Сельское, лесное и рыбное хозяйство",106.75319814235482,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-07-01,national,A,"Сельское, лесное и рыбное хозяйство",97.38162819539993,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-10-01,national,A,"Сельское, лесное и рыбное хозяйство",99.04091484703132,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-01-01,national,A,"Сельское, лесное и рыбное хозяйство",101.32643710442395,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-04-01,national,A,"Сельское, лесное и рыбное хозяйство",99.24815894258055,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-07-01,national,A,"Сельское, лесное и рыбное хозяйство",111.09749471520634,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-10-01,national,A,"Сельское, лесное и рыбное хозяйство",102.03738121211889,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-01-01,national,A,"Сельское, лесное и рыбное хозяйство",94.94858555474528,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-04-01,national,A,"Сельское, лесное и рыбное хозяйство",100.14707008908347,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-07-01,national,A,"Сельское, лесное и рыбное хозяйство",102.97721154802987,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-10-01,national,A,"Сельское, лесное и рыбное хозяйство",87.55959685611838,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-01-01,national,A,"Сельское, лесное и рыбное хозяйство",96.51696499637656,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-04-01,national,A,"Сельское, лесное и рыбное хозяйство",96.87298744813648,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-07-01,national,A,"Сельское, лесное и рыбное хозяйство",110.03662874034116,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-10-01,national,A,"Сельское, лесное и рыбное хозяйство",118.1133832736409,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2023-01-01,national,A,"Сельское, лесное и рыбное хозяйство",110.70476412851913,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2023-04-01,national,A,"Сельское, лесное и рыбное хозяйство",105.83311528388236,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2023-07-01,national,A,"Сельское, лесное и рыбное хозяйство",85.16429057418334,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2023-10-01,national,A,"Сельское, лесное и рыбное хозяйство",95.5459302446758,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2024-01-01,national,A,"Сельское, лесное и рыбное хозяйство",90.61438504346742,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2024-04-01,national,A,"Сельское, лесное и рыбное хозяйство",92.9228428432483,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2024-07-01,national,A,"Сельское, лесное и рыбное хозяйство",112.49251055069539,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2024-10-01,national,A,"Сельское, лесное и рыбное хозяйство",134.73327123852135,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2025-01-01,national,A,"Сельское, лесное и рыбное хозяйство",112.79146096177858,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2025-04-01,national,A,"Сельское, лесное и рыбное хозяйство",108.62954763030314,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2025-07-01,national,A,"Сельское, лесное и рыбное хозяйство",103.4158442080461,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2025-10-01,national,A,"Сельское, лесное и рыбное хозяйство",106.26634971343482,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2026-01-01,national,A,"Сельское, лесное и рыбное хозяйство",98.6233535482323,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.78364725576442,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,110.23492777470115,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,105.27445823211715,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2011-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,90.66727987562051,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,96.22499536972327,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,101.09036341436162,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.73728419026409,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2012-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,104.29679107388111,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,107.86617598184976,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,104.9911472936378,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,106.65219879896004,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2013-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,96.05376529296825,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,95.05686424160054,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,95.80430339080385,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,101.48834381070708,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2014-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,108.17217853176147,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,93.50562969436022,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,103.76010092580309,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,94.77400729325814,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2015-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,97.85749600881174,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,106.9321303465328,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,93.3481715956092,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,93.32576183543053,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2016-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,99.66198565839068,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,101.2733287250328,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,116.7830077411086,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,114.69945823395648,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2017-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,105.73514993677377,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,112.81099621940704,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.85653142822837,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,102.89796880626797,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2018-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,102.93466404991467,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,104.3380024932231,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,97.6150318806119,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,110.75860364179408,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2019-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.33909845123854,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,97.75748243853984,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,93.96309917914843,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,89.28427777499978,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2020-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,103.14092038015241,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,95.56208682605698,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,108.68497496958086,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,99.62297053172635,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2021-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,103.816990406076,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-01-01,national,B,Горнодобывающая промышленность и разработка карьеров,96.53751685484823,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-04-01,national,B,Горнодобывающая промышленность и разработка карьеров,93.21516273052413,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-07-01,national,B,Горнодобывающая промышленность и разработка карьеров,100.05182485201645,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
2022-10-01,national,B,Горнодобывающая промышленность и разработка карьеров,106.00975752862921,as published: quarter in % of the same quarter of the previous year; quarterly national accounts vintage -- see metadata
