date,region,item_code,item_name,value,transformation
2010-01-01,national,A,"Сельское, лесное и рыбное хозяйство",-1908.9573471550266,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-04-01,national,A,"Сельское, лесное и рыбное хозяйство",-3202.042559258737,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-07-01,national,A,"Сельское, лесное и рыбное хозяйство",-10220.46984819555,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2010-10-01,national,A,"Сельское, лесное и рыбное хозяйство",-5739.130245390689,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-01-01,national,A,"Сельское, лесное и рыбное хозяйство",-2358.3921326079953,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-04-01,national,A,"Сельское, лесное и рыбное хозяйство",-3486.305308645781,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-07-01,national,A,"Сельское, лесное и рыбное хозяйство",-14408.515644770861,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2011-10-01,national,A,"Сельское, лесное и рыбное хозяйство",-12643.786913975362,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-01-01,national,A,"Сельское, лесное и рыбное хозяйство",-3690.205270746839,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-04-01,national,A,"Сельское, лесное и рыбное хозяйство",-5877.349810052917,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-07-01,national,A,"Сельское, лесное и рыбное хозяйство",-20833.88264564005,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2012-10-01,national,A,"Сельское, лесное и рыбное хозяйство",-13865.262273560189,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-01-01,national,A,"Сельское, лесное и рыбное хозяйство",-3797.1954147289475,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-04-01,national,A,"Сельское, лесное и рыбное хозяйство",-4236.662628980281,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-07-01,national,A,"Сельское, лесное и рыбное хозяйство",-13747.874304868012,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2013-10-01,national,A,"Сельское, лесное и рыбное хозяйство",-9983.267651422755,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-01-01,national,A,"Сельское, лесное и рыбное хозяйство",-4592.149365641954,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-04-01,national,A,"Сельское, лесное и рыбное хозяйство",-8086.11932595056,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-07-01,national,A,"Сельское, лесное и рыбное хозяйство",-33625.55764588071,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2014-10-01,national,A,"Сельское, лесное и рыбное хозяйство",-25252.97366252678,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-01-01,national,A,"Сельское, лесное и рыбное хозяйство",-11760.597781186492,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-04-01,national,A,"Сельское, лесное и рыбное хозяйство",-20304.53178200067,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
2015-07-01,national,A,"Сельское, лесное и рыбное хозяйство",-76217.81620454839,"level (discrete quarter, as published; quarterly national accounts vintage -- see metadata)"
