date,region,item_code,item_name,value,transformation
2022-12-31,ABY,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2023-12-31,ABY,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2024-12-31,ABY,A,"Сельское, лесное и рыбное хозяйство",124.151508,level
2025-12-31,ABY,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2018-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",1592.2651040969831,level
2019-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",1365.976455,level
2020-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",264.0542980000001,level
2021-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",313.28011899999996,level
2022-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",371.16305200000005,level
2023-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",313.68483299999997,level
2024-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2025-12-31,AKM,A,"Сельское, лесное и рыбное хозяйство",772.6911959999999,level
2018-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2019-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2020-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2021-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2022-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2023-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2024-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",308.169784,level
2025-12-31,AKT,A,"Сельское, лесное и рыбное хозяйство",0.0,level
2018-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",2093.7130740000002,level
2019-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",1809.575625,level
2020-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",1559.8259460000002,level
2021-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",1251.382202,level
2022-12-31,ALA,A,"Сельское, лесное и рыбное хозяйство",517.489466,level
