date,region,item_code,item_name,value,transformation
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",3482.9500633483462,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2258.278971,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1959.1918940000003,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1711.878228,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1452.070792,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",4218.462753000001,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",4051.190308,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",7874.33191,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,6624.621665999999,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,11947.687380000001,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2393.15165,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,2039.6992240000002,level
2022-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,5756.821302000004,level
2023-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,32526.434880000004,level
2024-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,40250.397627000006,level
2025-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,51535.090453,level
2018-12-31,national,C,Обрабатывающая промышленность,7059.811471000001,level
2019-12-31,national,C,Обрабатывающая промышленность,19645.837462,level
2020-12-31,national,C,Обрабатывающая промышленность,23754.441171,level
2021-12-31,national,C,Обрабатывающая промышленность,30561.789991,level
2022-12-31,national,C,Обрабатывающая промышленность,22771.663402000002,level
2023-12-31,national,C,Обрабатывающая промышленность,101335.874513,level
2024-12-31,national,C,Обрабатывающая промышленность,165907.302737,level
2025-12-31,national,C,Обрабатывающая промышленность,254448.095183,level
2018-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",23426.640786000004,level
2019-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",16436.831072999998,level
2020-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",25471.867412,level
2021-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",39686.483669,level
2022-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",40082.446294,level
2023-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",28385.072376,level
2024-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",44912.208936,level
2025-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",47624.961138,level
2018-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",13682.748270999999,level
2019-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",10615.096552000003,level
2020-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",14375.080466000001,level
2021-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",18110.639904,level
2022-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",20600.933814999993,level
2023-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",21685.824999000004,level
2024-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",26092.389563999997,level
2025-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",32429.407839000003,level
2018-12-31,national,F,Строительство,132.99271599999997,level
2019-12-31,national,F,Строительство,11437.531083999998,level
2020-12-31,national,F,Строительство,331.94361,level
2021-12-31,national,F,Строительство,1986.9102919999998,level
2022-12-31,national,F,Строительство,77.13585,level
2023-12-31,national,F,Строительство,99.392608,level
2024-12-31,national,F,Строительство,975.726902,level
2025-12-31,national,F,Строительство,795.71417,level
2018-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,326272.78424,level
2019-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,273105.75474,level
2020-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,701040.5099100001,level
2021-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,343576.48874400003,level
2022-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,807730.994265,level
2023-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,1039397.8411900001,level
2024-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,1591136.3165145,level
2025-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,913359.534372,level
2018-12-31,national,GOODS,Производство товаров,54409.76497334835,level
2019-12-31,national,GOODS,Производство товаров,72341.26252199999,level
2020-12-31,national,GOODS,Производство товаров,68285.67620300001,level
2021-12-31,national,GOODS,Производство товаров,94097.401308,level
2022-12-31,national,GOODS,Производство товаров,90741.07145500001,level
2023-12-31,national,GOODS,Производство товаров,188251.062129,level
2024-12-31,national,GOODS,Производство товаров,282189.21607400005,level
2025-12-31,national,GOODS,Производство товаров,394707.600693,level
2018-12-31,national,GVA,Валовая добавленная стоимость,787985.9684677904,level
2019-12-31,national,GVA,Валовая добавленная стоимость,814343.7638251396,level
2020-12-31,national,GVA,Валовая добавленная стоимость,1269445.7739686077,level
2021-12-31,national,GVA,Валовая добавленная стоимость,974629.5945258247,level
2022-12-31,national,GVA,Валовая добавленная стоимость,1485608.9550443003,level
2023-12-31,national,GVA,Валовая добавленная стоимость,1881010.3149829002,level
2024-12-31,national,GVA,Валовая добавленная стоимость,2637730.5153912,level
2025-12-31,national,GVA,Валовая добавленная стоимость,1967253.1648009003,level
2018-12-31,national,H,Транспорт и складирование,170848.74279179997,level
2019-12-31,national,H,Транспорт и складирование,191074.31661349998,level
2020-12-31,national,H,Транспорт и складирование,266702.8782974,level
2021-12-31,national,H,Транспорт и складирование,235185.0113898,level
2022-12-31,national,H,Транспорт и складирование,239060.4732181,level
2023-12-31,national,H,Транспорт и складирование,256208.817912,level
2024-12-31,national,H,Транспорт и складирование,253764.32034720003,level
2025-12-31,national,H,Транспорт и складирование,231725.0250734,level
2018-12-31,national,I,Предоставление услуг по проживанию и питанию,146.617404,level
