date,region,item_code,item_name,value,transformation
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2537.210455044627,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2199.5827301519225,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",585.62166749,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",495.8544705999999,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",562.873722,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",669.401712,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1621.932726,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",967.999684,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,100361.96289999998,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,24896.130716000003,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,25669.808966,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,20785.692808,level
2022-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,25974.21463,level
2023-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,19061.608099,level
2024-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,43740.605712000004,level
2025-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,44118.234658,level
2018-12-31,national,C,Обрабатывающая промышленность,130707.502544,level
2019-12-31,national,C,Обрабатывающая промышленность,229404.745912,level
2020-12-31,national,C,Обрабатывающая промышленность,274423.60729899997,level
2021-12-31,national,C,Обрабатывающая промышленность,334526.444119,level
2022-12-31,national,C,Обрабатывающая промышленность,445373.38016099995,level
2023-12-31,national,C,Обрабатывающая промышленность,415392.883679,level
2024-12-31,national,C,Обрабатывающая промышленность,631270.1576650001,level
2025-12-31,national,C,Обрабатывающая промышленность,964472.4462359999,level
2018-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",10439.276922000001,level
2019-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",11441.936989999997,level
2020-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",9627.098346,level
2021-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",18044.832632,level
2022-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",7727.884683,level
2023-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",10584.520095999998,level
2024-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",18797.500818,level
2025-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",28450.993489999997,level
2018-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",7723.693853,level
2019-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",5215.410305000003,level
2020-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",7241.461785,level
2021-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",8905.58718,level
2022-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",10868.493091999997,level
2023-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",11810.128328000004,level
2024-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",11896.870825999997,level
2025-12-31,national,E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",12218.414050000001,level
2018-12-31,national,F,Строительство,19822.012837299993,level
2019-12-31,national,F,Строительство,2767.8720099999996,level
2020-12-31,national,F,Строительство,356.54482,level
2021-12-31,national,F,Строительство,8336.306591999999,level
2022-12-31,national,F,Строительство,395.44362000000007,level
2023-12-31,national,F,Строительство,2078.117536,level
2024-12-31,national,F,Строительство,1425.460688,level
2025-12-31,national,F,Строительство,2733.6437789999995,level
2018-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,35407.99927200001,level
2019-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,48583.67337,level
2020-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,66451.75450000001,level
2021-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,87220.02463599999,level
2022-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,101950.18422400001,level
2023-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,198311.33217650003,level
2024-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,142378.86167399999,level
2025-12-31,national,G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,996413.1595800002,level
2018-12-31,national,GOODS,Производство товаров,271591.6595113446,level
2019-12-31,national,GOODS,Производство товаров,275925.678663152,level
2020-12-31,national,GOODS,Производство товаров,317904.14288348996,level
2021-12-31,national,GOODS,Производство товаров,391094.7178016,level
2022-12-31,national,GOODS,Производство товаров,490902.2899079999,level
2023-12-31,national,GOODS,Производство товаров,459596.65945000004,level
2024-12-31,national,GOODS,Производство товаров,708752.528435,level
2025-12-31,national,GOODS,Производство товаров,1052961.731897,level
2018-12-31,national,GVA,Валовая добавленная стоимость,700682.6876244054,level
2019-12-31,national,GVA,Валовая добавленная стоимость,748442.7905906434,level
2020-12-31,national,GVA,Валовая добавленная стоимость,639414.4027376535,level
2021-12-31,national,GVA,Валовая добавленная стоимость,839707.7097194984,level
2022-12-31,national,GVA,Валовая добавленная стоимость,982199.6520211999,level
2023-12-31,national,GVA,Валовая добавленная стоимость,1067245.0829789997,level
2024-12-31,national,GVA,Валовая добавленная стоимость,1337562.3401952,level
2025-12-31,national,GVA,Валовая добавленная стоимость,2680993.4473962,level
2018-12-31,national,H,Транспорт и складирование,11636.437883,level
2019-12-31,national,H,Транспорт и складирование,10937.171349400001,level
2020-12-31,national,H,Транспорт и складирование,11747.4244905,level
2021-12-31,national,H,Транспорт и складирование,10458.446464,level
2022-12-31,national,H,Транспорт и складирование,47121.8481406,level
2023-12-31,national,H,Транспорт и складирование,3511.185648,level
2024-12-31,national,H,Транспорт и складирование,23218.209832,level
2025-12-31,national,H,Транспорт и складирование,35429.20966760001,level
2018-12-31,national,I,Предоставление услуг по проживанию и питанию,20.583108,level
2019-12-31,national,I,Предоставление услуг по проживанию и питанию,41.573633,level
2020-12-31,national,I,Предоставление услуг по проживанию и питанию,0.0,level
2021-12-31,national,I,Предоставление услуг по проживанию и питанию,91.440873,level
2022-12-31,national,I,Предоставление услуг по проживанию и питанию,12.78624,level
2023-12-31,national,I,Предоставление услуг по проживанию и питанию,50.535951999999995,level
2024-12-31,national,I,Предоставление услуг по проживанию и питанию,47.998599999999996,level
2025-12-31,national,I,Предоставление услуг по проживанию и питанию,42.952,level
2018-12-31,national,IND,Промышленность,249232.43621899997,level
2019-12-31,national,IND,Промышленность,270958.22392300004,level
2020-12-31,national,IND,Промышленность,316961.97639599995,level
2021-12-31,national,IND,Промышленность,382262.55673899996,level
2022-12-31,national,IND,Промышленность,489943.97256599995,level
2023-12-31,national,IND,Промышленность,456849.14020200004,level
2024-12-31,national,IND,Промышленность,705705.135021,level
2025-12-31,national,IND,Промышленность,1049260.088434,level
2018-12-31,national,J,Информация и связь,10355.784043200001,level
2019-12-31,national,J,Информация и связь,16039.955097799999,level
2020-12-31,national,J,Информация и связь,8868.757735,level
2021-12-31,national,J,Информация и связь,11064.128153000001,level
2022-12-31,national,J,Информация и связь,6244.8563251,level
2023-12-31,national,J,Информация и связь,10814.5076754,level
2024-12-31,national,J,Информация и связь,12047.111183200002,level
2025-12-31,national,J,Информация и связь,167728.97092340005,level
2018-12-31,national,K,Финансовая и страховая деятельность,2873.4319488,level
2019-12-31,national,K,Финансовая и страховая деятельность,23367.471544000004,level
2020-12-31,national,K,Финансовая и страховая деятельность,3812.4611508000003,level
2021-12-31,national,K,Финансовая и страховая деятельность,12644.1467822,level
2022-12-31,national,K,Финансовая и страховая деятельность,27127.51508999999,level
2023-12-31,national,K,Финансовая и страховая деятельность,44685.2004744,level
2024-12-31,national,K,Финансовая и страховая деятельность,58630.8758538,level
2025-12-31,national,K,Финансовая и страховая деятельность,15256.989227999997,level
2018-12-31,national,L,Операции с недвижимым имуществом,5293.5042174,level
2019-12-31,national,L,Операции с недвижимым имуществом,6221.463321501001,level
2020-12-31,national,L,Операции с недвижимым имуществом,5212.174928199999,level
2021-12-31,national,L,Операции с недвижимым имуществом,5505.014306900001,level
2022-12-31,national,L,Операции с недвижимым имуществом,5434.2734834,level
2023-12-31,national,L,Операции с недвижимым имуществом,19887.122362,level
2024-12-31,national,L,Операции с недвижимым имуществом,19043.165996000003,level
2025-12-31,national,L,Операции с недвижимым имуществом,41003.342709000004,level
2018-12-31,national,M,"Профессиональная, научная и техническая деятельность",133911.91823769998,level
2019-12-31,national,M,"Профессиональная, научная и техническая деятельность",123890.809532,level
2020-12-31,national,M,"Профессиональная, научная и техническая деятельность",107795.250038636,level
2021-12-31,national,M,"Профессиональная, научная и техническая деятельность",132377.4117738,level
2022-12-31,national,M,"Профессиональная, научная и техническая деятельность",118217.72607950002,level
