date,region,item_code,item_name,value,transformation
2022-12-31,ABY,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.05409014564213875,level
2023-12-31,ABY,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.05657261613354688,level
2024-12-31,ABY,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.05498963692258249,level
2025-12-31,ABY,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.05733881089156846,level
2018-12-31,AKM,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.07742941812098583,level
2019-12-31,AKM,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.0856364492700878,level
2020-12-31,AKM,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.07431867492978518,level
2021-12-31,AKM,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.09100563184909775,level
2022-12-31,AKM,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.21304694040066963,level
2023-12-31,AKM,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.07408376220897243,level
2024-12-31,AKM,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.11982143213140509,level
2025-12-31,AKM,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.07114132277669441,level
2018-12-31,AKT,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.22481325942182256,level
2019-12-31,AKT,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.20125684213252032,level
2020-12-31,AKT,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.1317679420715696,level
2021-12-31,AKT,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.1448222997979767,level
2022-12-31,AKT,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.14466083070474176,level
2023-12-31,AKT,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.14700357127915975,level
2024-12-31,AKT,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.852679432200747,level
2025-12-31,AKT,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,0.11893452718729582,level
2018-12-31,ALA,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,2.194982097015464,level
2019-12-31,ALA,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,1.9640736743831981,level
2020-12-31,ALA,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,2.545899572499871,level
2021-12-31,ALA,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,2.0361429375319196,level
2022-12-31,ALA,QUASI_GVA_SHARE,Доля ВДС квазигосударственного сектора в ВВП,1.6211318823139647,level
