date,region,item_code,item_name,value,transformation
2018-12-31,national,A,"Сельское, лесное и рыбное хозяйство",16582.51223726628,level
2019-12-31,national,A,"Сельское, лесное и рыбное хозяйство",16373.649302050475,level
2020-12-31,national,A,"Сельское, лесное и рыбное хозяйство",16150.714301216092,level
2021-12-31,national,A,"Сельское, лесное и рыбное хозяйство",29919.640134567904,level
2022-12-31,national,A,"Сельское, лесное и рыбное хозяйство",40478.076947169815,level
2023-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2051.021036553525,level
2024-12-31,national,A,"Сельское, лесное и рыбное хозяйство",1657.4534811529934,level
2025-12-31,national,A,"Сельское, лесное и рыбное хозяйство",2032.6778428053203,level
2018-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,131303.75117703318,level
2019-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,150052.34232233855,level
2020-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,105164.75069772355,level
2021-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,104460.39297086079,level
2022-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,222442.58123129586,level
2023-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,213911.31531709904,level
2024-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,211329.083211605,level
2025-12-31,national,B,Горнодобывающая промышленность и разработка карьеров,236621.13956248606,level
2018-12-31,national,C,Обрабатывающая промышленность,34954.65953303209,level
2019-12-31,national,C,Обрабатывающая промышленность,28780.237003366063,level
2020-12-31,national,C,Обрабатывающая промышленность,21791.123339954593,level
2021-12-31,national,C,Обрабатывающая промышленность,12296.226469322342,level
2022-12-31,national,C,Обрабатывающая промышленность,25606.501644720494,level
2023-12-31,national,C,Обрабатывающая промышленность,34281.635400776584,level
2024-12-31,national,C,Обрабатывающая промышленность,35407.29149188069,level
2025-12-31,national,C,Обрабатывающая промышленность,46044.70182707466,level
2018-12-31,national,D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",9929.070818102928,level
