date,region,item_code,item_name,value,transformation
2022-12-31,ABY,TOTAL,Уровень безработицы,5.0,level
2023-12-31,ABY,TOTAL,Уровень безработицы,4.8,level
2024-12-31,ABY,TOTAL,Уровень безработицы,4.8,level
2025-12-31,ABY,TOTAL,Уровень безработицы,4.7,level
2001-12-31,AKM,TOTAL,Уровень безработицы,10.8,level
2002-12-31,AKM,TOTAL,Уровень безработицы,9.2,level
2003-12-31,AKM,TOTAL,Уровень безработицы,9.2,level
2004-12-31,AKM,TOTAL,Уровень безработицы,9.2,level
2005-12-31,AKM,TOTAL,Уровень безработицы,8.9,level
2006-12-31,AKM,TOTAL,Уровень безработицы,8.6,level
2007-12-31,AKM,TOTAL,Уровень безработицы,7.981454696942038,level
2008-12-31,AKM,TOTAL,Уровень безработицы,7.1,level
2009-12-31,AKM,TOTAL,Уровень безработицы,6.9,level
2010-12-31,AKM,TOTAL,Уровень безработицы,5.8,level
2011-12-31,AKM,TOTAL,Уровень безработицы,5.5,level
2012-12-31,AKM,TOTAL,Уровень безработицы,5.3,level
2013-12-31,AKM,TOTAL,Уровень безработицы,5.2,level
2014-12-31,AKM,TOTAL,Уровень безработицы,4.9,level
2016-12-31,AKM,TOTAL,Уровень безработицы,4.9,level
2017-12-31,AKM,TOTAL,Уровень безработицы,4.8,level
2018-12-31,AKM,TOTAL,Уровень безработицы,4.8,level
2019-12-31,AKM,TOTAL,Уровень безработицы,4.7,level
2020-12-31,AKM,TOTAL,Уровень безработицы,4.9,level
2021-12-31,AKM,TOTAL,Уровень безработицы,4.9,level
2022-12-31,AKM,TOTAL,Уровень безработицы,4.8,level
2023-12-31,AKM,TOTAL,Уровень безработицы,4.8,level
2024-12-31,AKM,TOTAL,Уровень безработицы,4.6,level
2025-12-31,AKM,TOTAL,Уровень безработицы,4.5,level
2001-12-31,AKT,TOTAL,Уровень безработицы,11.4,level
2002-12-31,AKT,TOTAL,Уровень безработицы,10.2,level
