date,region,item_code,item_name,value,transformation
2026-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",113.7,forecast
2027-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",99.8,forecast
2026-12-31,world,ENERGY,Энергоносители (2010=100),111.3,forecast
2027-12-31,world,ENERGY,Энергоносители (2010=100),92.1,forecast
2026-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),118.7,forecast
2027-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),115.4,forecast
2026-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),109.3,forecast
2027-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),110.0,forecast
2026-12-31,world,BEVERAGES,Напитки (2010=100),144.8,forecast
2027-12-31,world,BEVERAGES,Напитки (2010=100),147.8,forecast
2026-12-31,world,FOOD,Еда (2010=100),111.9,forecast
2027-12-31,world,FOOD,Еда (2010=100),113.3,forecast
2026-12-31,world,OILS_MEALS,Масла и шроты (2010=100),109.0,forecast
2027-12-31,world,OILS_MEALS,Масла и шроты (2010=100),109.3,forecast
2026-12-31,world,GRAINS,Зерна (2010=100),103.7,forecast
2027-12-31,world,GRAINS,Зерна (2010=100),106.0,forecast
2026-12-31,world,OTHER_FOOD,Другая пища (2010=100),123.1,forecast
2027-12-31,world,OTHER_FOOD,Другая пища (2010=100),125.2,forecast
2026-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),84.9,forecast
2027-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),82.6,forecast
2026-12-31,world,TIMBER,Древесина (2010=100),81.7,forecast
2027-12-31,world,TIMBER,Древесина (2010=100),82.9,forecast
2026-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),88.4,forecast
2027-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),82.2,forecast
2026-12-31,world,FERTILIZERS,Удобрения (2010=100),181.3,forecast
2027-12-31,world,FERTILIZERS,Удобрения (2010=100),152.1,forecast
2026-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),130.8,forecast
2027-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),122.3,forecast
2026-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",145.8,forecast
2027-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",135.6,forecast
2026-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),368.3,forecast
2027-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),337.7,forecast
