date,region,item_code,item_name,value,transformation
1960-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",7.5,level
1960-12-31,world,ENERGY,Энергоносители (2010=100),2.1,level
1960-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),18.5,level
1960-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),21.7,level
1960-12-31,world,BEVERAGES,Напитки (2010=100),24.8,level
1960-12-31,world,FOOD,Еда (2010=100),20.8,level
1960-12-31,world,OILS_MEALS,Масла и шроты (2010=100),22.1,level
1960-12-31,world,GRAINS,Зерна (2010=100),23.4,level
1960-12-31,world,OTHER_FOOD,Другая пища (2010=100),16.8,level
1960-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),22.1,level
1960-12-31,world,TIMBER,Древесина (2010=100),16.2,level
1960-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),28.5,level
1960-12-31,world,FERTILIZERS,Удобрения (2010=100),12.9,level
1960-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),12.7,level
1960-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",13.8,level
1960-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),3.3,level
1961-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",7.5,level
1961-12-31,world,ENERGY,Энергоносители (2010=100),2.1,level
1961-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),18.5,level
1961-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),21.8,level
1961-12-31,world,BEVERAGES,Напитки (2010=100),22.6,level
1961-12-31,world,FOOD,Еда (2010=100),22.0,level
1961-12-31,world,OILS_MEALS,Масла и шроты (2010=100),24.9,level
1961-12-31,world,GRAINS,Зерна (2010=100),24.3,level
1961-12-31,world,OTHER_FOOD,Другая пища (2010=100),16.1,level
1961-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),20.7,level
1961-12-31,world,TIMBER,Древесина (2010=100),16.6,level
1961-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),25.3,level
1961-12-31,world,FERTILIZERS,Удобрения (2010=100),12.9,level
1961-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),12.4,level
1961-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",13.5,level
1961-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),3.3,level
1962-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",7.4,level
1962-12-31,world,ENERGY,Энергоносители (2010=100),2.0,level
1962-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),18.2,level
1962-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),21.5,level
1962-12-31,world,BEVERAGES,Напитки (2010=100),22.0,level
1962-12-31,world,FOOD,Еда (2010=100),21.8,level
1962-12-31,world,OILS_MEALS,Масла и шроты (2010=100),22.6,level
1962-12-31,world,GRAINS,Зерна (2010=100),26.8,level
1962-12-31,world,OTHER_FOOD,Другая пища (2010=100),16.2,level
1962-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),20.4,level
1962-12-31,world,TIMBER,Древесина (2010=100),17.6,level
1962-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),23.5,level
1962-12-31,world,FERTILIZERS,Удобрения (2010=100),12.6,level
1962-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),12.2,level
1962-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",13.3,level
1962-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),3.4,level
1963-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",7.7,level
1963-12-31,world,ENERGY,Энергоносители (2010=100),2.0,level
1963-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),19.2,level
1963-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),23.0,level
1963-12-31,world,BEVERAGES,Напитки (2010=100),22.5,level
1963-12-31,world,FOOD,Еда (2010=100),24.4,level
1963-12-31,world,OILS_MEALS,Масла и шроты (2010=100),23.5,level
1963-12-31,world,GRAINS,Зерна (2010=100),27.4,level
1963-12-31,world,OTHER_FOOD,Другая пища (2010=100),22.9,level
1963-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.8,level
1963-12-31,world,TIMBER,Древесина (2010=100),17.3,level
1963-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),22.5,level
1963-12-31,world,FERTILIZERS,Удобрения (2010=100),12.7,level
1963-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),12.3,level
1963-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",13.4,level
1963-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),3.6,level
1964-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",7.9,level
1964-12-31,world,ENERGY,Энергоносители (2010=100),1.9,level
1964-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),20.1,level
1964-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),23.0,level
1964-12-31,world,BEVERAGES,Напитки (2010=100),24.4,level
1964-12-31,world,FOOD,Еда (2010=100),24.2,level
1964-12-31,world,OILS_MEALS,Масла и шроты (2010=100),24.2,level
1964-12-31,world,GRAINS,Зерна (2010=100),27.6,level
1964-12-31,world,OTHER_FOOD,Другая пища (2010=100),21.3,level
1964-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.3,level
1964-12-31,world,TIMBER,Древесина (2010=100),15.7,level
1964-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),23.1,level
1964-12-31,world,FERTILIZERS,Удобрения (2010=100),15.6,level
1964-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),14.6,level
1964-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",16.3,level
1964-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),3.6,level
1965-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",8.0,level
1965-12-31,world,ENERGY,Энергоносители (2010=100),1.9,level
1965-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),20.4,level
1965-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),22.5,level
1965-12-31,world,BEVERAGES,Напитки (2010=100),22.5,level
1965-12-31,world,FOOD,Еда (2010=100),23.8,level
1965-12-31,world,OILS_MEALS,Масла и шроты (2010=100),26.8,level
1965-12-31,world,GRAINS,Зерна (2010=100),26.9,level
1965-12-31,world,OTHER_FOOD,Другая пища (2010=100),17.0,level
1965-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.3,level
1965-12-31,world,TIMBER,Древесина (2010=100),17.2,level
1965-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),21.7,level
1965-12-31,world,FERTILIZERS,Удобрения (2010=100),16.5,level
1965-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),16.5,level
1965-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",18.6,level
1965-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),3.6,level
1966-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",8.3,level
1966-12-31,world,ENERGY,Энергоносители (2010=100),1.9,level
1966-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),21.2,level
1966-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),23.3,level
1966-12-31,world,BEVERAGES,Напитки (2010=100),23.3,level
1966-12-31,world,FOOD,Еда (2010=100),24.6,level
1966-12-31,world,OILS_MEALS,Масла и шроты (2010=100),26.5,level
1966-12-31,world,GRAINS,Зерна (2010=100),29.5,level
1966-12-31,world,OTHER_FOOD,Другая пища (2010=100),17.6,level
1966-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),20.3,level
1966-12-31,world,TIMBER,Древесина (2010=100),17.7,level
1966-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),23.2,level
1966-12-31,world,FERTILIZERS,Удобрения (2010=100),15.1,level
1966-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),17.4,level
1966-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",20.0,level
1966-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),3.6,level
1967-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",8.0,level
1967-12-31,world,ENERGY,Энергоносители (2010=100),1.9,level
1967-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),20.4,level
1967-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),23.2,level
1967-12-31,world,BEVERAGES,Напитки (2010=100),23.5,level
1967-12-31,world,FOOD,Еда (2010=100),24.7,level
1967-12-31,world,OILS_MEALS,Масла и шроты (2010=100),24.4,level
1967-12-31,world,GRAINS,Зерна (2010=100),31.6,level
1967-12-31,world,OTHER_FOOD,Другая пища (2010=100),18.9,level
1967-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.6,level
1967-12-31,world,TIMBER,Древесина (2010=100),18.5,level
1967-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),20.9,level
1967-12-31,world,FERTILIZERS,Удобрения (2010=100),13.1,level
1967-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),15.3,level
1967-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",17.5,level
1967-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),3.9,level
1968-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",7.8,level
1968-12-31,world,ENERGY,Энергоносители (2010=100),1.9,level
1968-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),20.0,level
1968-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),22.4,level
1968-12-31,world,BEVERAGES,Напитки (2010=100),24.4,level
1968-12-31,world,FOOD,Еда (2010=100),23.2,level
1968-12-31,world,OILS_MEALS,Масла и шроты (2010=100),21.9,level
1968-12-31,world,GRAINS,Зерна (2010=100),29.5,level
1968-12-31,world,OTHER_FOOD,Другая пища (2010=100),19.1,level
1968-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.4,level
1968-12-31,world,TIMBER,Древесина (2010=100),18.7,level
1968-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),20.2,level
1968-12-31,world,FERTILIZERS,Удобрения (2010=100),10.5,level
1968-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),16.0,level
1968-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",18.4,level
1968-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),4.7,level
1969-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",8.2,level
1969-12-31,world,ENERGY,Энергоносители (2010=100),1.8,level
1969-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),21.0,level
1969-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),23.2,level
1969-12-31,world,BEVERAGES,Напитки (2010=100),26.4,level
1969-12-31,world,FOOD,Еда (2010=100),24.1,level
1969-12-31,world,OILS_MEALS,Масла и шроты (2010=100),22.2,level
1969-12-31,world,GRAINS,Зерна (2010=100),29.1,level
1969-12-31,world,OTHER_FOOD,Другая пища (2010=100),21.9,level
1969-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.4,level
1969-12-31,world,TIMBER,Древесина (2010=100),18.3,level
1969-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),20.5,level
1969-12-31,world,FERTILIZERS,Удобрения (2010=100),9.2,level
1969-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),18.0,level
1969-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",20.6,level
1969-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),4.5,level
1970-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",8.7,level
1970-12-31,world,ENERGY,Энергоносители (2010=100),2.1,level
1970-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),22.1,level
1970-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),24.6,level
1970-12-31,world,BEVERAGES,Напитки (2010=100),27.7,level
1970-12-31,world,FOOD,Еда (2010=100),26.1,level
1970-12-31,world,OILS_MEALS,Масла и шроты (2010=100),27.2,level
1970-12-31,world,GRAINS,Зерна (2010=100),27.4,level
1970-12-31,world,OTHER_FOOD,Другая пища (2010=100),23.4,level
1970-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.6,level
1970-12-31,world,TIMBER,Древесина (2010=100),19.5,level
1970-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),19.6,level
1970-12-31,world,FERTILIZERS,Удобрения (2010=100),8.7,level
1970-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),18.3,level
1970-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",21.0,level
1970-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),4.2,level
1971-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",8.9,level
1971-12-31,world,ENERGY,Энергоносители (2010=100),2.7,level
1971-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),21.6,level
1971-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),24.6,level
1971-12-31,world,BEVERAGES,Напитки (2010=100),25.0,level
1971-12-31,world,FOOD,Еда (2010=100),26.6,level
1971-12-31,world,OILS_MEALS,Масла и шроты (2010=100),27.9,level
1971-12-31,world,GRAINS,Зерна (2010=100),27.4,level
1971-12-31,world,OTHER_FOOD,Другая пища (2010=100),24.2,level
1971-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.6,level
1971-12-31,world,TIMBER,Древесина (2010=100),19.6,level
1971-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),19.6,level
1971-12-31,world,FERTILIZERS,Удобрения (2010=100),8.5,level
1971-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),16.8,level
1971-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",19.1,level
1971-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),4.3,level
1972-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",9.4,level
1972-12-31,world,ENERGY,Энергоносители (2010=100),2.9,level
1972-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),22.5,level
1972-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),26.1,level
1972-12-31,world,BEVERAGES,Напитки (2010=100),27.2,level
1972-12-31,world,FOOD,Еда (2010=100),28.6,level
1972-12-31,world,OILS_MEALS,Масла и шроты (2010=100),27.9,level
1972-12-31,world,GRAINS,Зерна (2010=100),28.8,level
1972-12-31,world,OTHER_FOOD,Другая пища (2010=100),29.1,level
1972-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),19.6,level
1972-12-31,world,TIMBER,Древесина (2010=100),19.0,level
1972-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),20.3,level
1972-12-31,world,FERTILIZERS,Удобрения (2010=100),11.9,level
1972-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),16.5,level
1972-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",18.6,level
1972-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),5.5,level
1973-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",14.4,level
1973-12-31,world,ENERGY,Энергоносители (2010=100),4.2,level
1973-12-31,world,NON_ENERGY,Неэнергетические сырьевые товары (2010=100),35.2,level
1973-12-31,world,AGRICULTURE,Сельское хозяйство (2010=100),42.7,level
1973-12-31,world,BEVERAGES,Напитки (2010=100),35.7,level
1973-12-31,world,FOOD,Еда (2010=100),50.0,level
1973-12-31,world,OILS_MEALS,Масла и шроты (2010=100),56.3,level
1973-12-31,world,GRAINS,Зерна (2010=100),56.4,level
1973-12-31,world,OTHER_FOOD,Другая пища (2010=100),36.1,level
1973-12-31,world,RAW_MATERIALS,Сырьевые ресурсы (2010=100),28.4,level
1973-12-31,world,TIMBER,Древесина (2010=100),25.9,level
1973-12-31,world,OTHER_RAW_MATERIALS,Другое сырье (2010=100),31.2,level
1973-12-31,world,FERTILIZERS,Удобрения (2010=100),19.7,level
1973-12-31,world,METALS_MINERALS,Металлы и минералы (2010=100),21.5,level
1973-12-31,world,BASE_METALS,"Неблагородные металлы, без железной руды (2010=100)",24.8,level
1973-12-31,world,PRECIOUS_METALS,Драгоценные металлы (2010=100),8.9,level
1974-12-31,world,TOTAL,"Сырьевые товары, сводный индекс (2010=100)",24.9,level
1974-12-31,world,ENERGY,Энергоносители (2010=100),13.8,level
