date,region,item_code,item_name,value,transformation
2010-12-31,national,ABW,Aruba,76653.097,level
1995-12-31,national,AFG,Afghanistan,2916.694,level
1996-12-31,national,AFG,Afghanistan,5746.695,level
1997-12-31,national,AFG,Afghanistan,8637.493,level
1998-12-31,national,AFG,Afghanistan,7639.691,level
1999-12-31,national,AFG,Afghanistan,11427.181,level
2000-12-31,national,AFG,Afghanistan,57927.9,level
2001-12-31,national,AFG,Afghanistan,18184.3,level
2002-12-31,national,AFG,Afghanistan,31130.2,level
2003-12-31,national,AFG,Afghanistan,49446.0,level
2004-12-31,national,AFG,Afghanistan,86387.353,level
2005-12-31,national,AFG,Afghanistan,163914.679,level
2006-12-31,national,AFG,Afghanistan,178513.82,level
2007-12-31,national,AFG,Afghanistan,192512.521,level
2008-12-31,national,AFG,Afghanistan,617120.596,level
2009-12-31,national,AFG,Afghanistan,408454.694,level
2010-12-31,national,AFG,Afghanistan,362783.918,level
2011-12-31,national,AFG,Afghanistan,333844.221,level
2012-12-31,national,AFG,Afghanistan,320952.1,level
2013-12-31,national,AFG,Afghanistan,250910.105,level
2014-12-31,national,AFG,Afghanistan,333522.124,level
2015-12-31,national,AFG,Afghanistan,372434.168,level
2016-12-31,national,AFG,Afghanistan,486885.804,level
2017-12-31,national,AFG,Afghanistan,562543.22398,level
2018-12-31,national,AFG,Afghanistan,517578.59329,level
2019-12-31,national,AFG,Afghanistan,398853.67678,level
2020-12-31,national,AFG,Afghanistan,589677.13064,level
2021-12-31,national,AFG,Afghanistan,455652.62812,level
2022-12-31,national,AFG,Afghanistan,916207.10233,level
2023-12-31,national,AFG,Afghanistan,615511.716,level
1999-12-31,national,AGO,Angola,40.0,level
2001-12-31,national,AGO,Angola,249.8,level
2002-12-31,national,AGO,Angola,101.2,level
2003-12-31,national,AGO,Angola,17.9,level
2004-12-31,national,AGO,Angola,24.405,level
2005-12-31,national,AGO,Angola,42.799,level
2006-12-31,national,AGO,Angola,338.673,level
2007-12-31,national,AGO,Angola,123.326,level
2008-12-31,national,AGO,Angola,488.413,level
2009-12-31,national,AGO,Angola,29.623,level
2010-12-31,national,AGO,Angola,1697.101,level
2011-12-31,national,AGO,Angola,190.928,level
2012-12-31,national,AGO,Angola,137.9,level
2013-12-31,national,AGO,Angola,291.889,level
2014-12-31,national,AGO,Angola,1365.058,level
2015-12-31,national,AGO,Angola,32.073,level
2016-12-31,national,AGO,Angola,39.485,level
2017-12-31,national,AGO,Angola,100.32795,level
2018-12-31,national,AGO,Angola,191.74639,level
2019-12-31,national,AGO,Angola,25.92203,level
2020-12-31,national,AGO,Angola,10.85691,level
2021-12-31,national,AGO,Angola,41.49549,level
2022-12-31,national,AGO,Angola,1.76219,level
2023-12-31,national,AGO,Angola,678.64622,level
2000-12-31,national,AIA,Anguila,0.1,level
2002-12-31,national,AIA,Anguila,84.4,level
2008-12-31,national,AIA,Anguila,21.7,level
1996-12-31,national,ALB,Albania,102.297,level
1998-12-31,national,ALB,Albania,1095.991,level
2007-12-31,national,ALB,Albania,605.507,level
2008-12-31,national,ALB,Albania,8334.234,level
2010-12-31,national,ALB,Albania,2601.712,level
2011-12-31,national,ALB,Albania,5664.447,level
2012-12-31,national,ALB,Albania,7868.0,level
2013-12-31,national,ALB,Albania,518.721,level
2016-12-31,national,ALB,Albania,1224.218,level
2017-12-31,national,ALB,Albania,2140.16089,level
2019-12-31,national,ALB,Albania,1827.78433,level
2020-12-31,national,ALB,Albania,1461.55474,level
2021-12-31,national,ALB,Albania,5322.16044,level
2022-12-31,national,ALB,Albania,7311.74692,level
2023-12-31,national,ALB,Albania,32.50046,level
2001-12-31,national,AND,Andorra,7.4,level
1995-12-31,national,ARE,United Arab Emirates,324.898,level
1996-12-31,national,ARE,United Arab Emirates,5209.693,level
1997-12-31,national,ARE,United Arab Emirates,5575.895,level
1998-12-31,national,ARE,United Arab Emirates,10316.897,level
1999-12-31,national,ARE,United Arab Emirates,4742.778,level
2000-12-31,national,ARE,United Arab Emirates,11007.6,level
2001-12-31,national,ARE,United Arab Emirates,330339.8,level
2002-12-31,national,ARE,United Arab Emirates,472276.7,level
2003-12-31,national,ARE,United Arab Emirates,215057.2,level
2004-12-31,national,ARE,United Arab Emirates,31783.663,level
2005-12-31,national,ARE,United Arab Emirates,20176.665,level
2006-12-31,national,ARE,United Arab Emirates,80004.989,level
2007-12-31,national,ARE,United Arab Emirates,56128.244,level
2008-12-31,national,ARE,United Arab Emirates,90491.098,level
2009-12-31,national,ARE,United Arab Emirates,20173.272,level
2010-12-31,national,ARE,United Arab Emirates,13801.729,level
2011-12-31,national,ARE,United Arab Emirates,34019.626,level
2012-12-31,national,ARE,United Arab Emirates,122302.6,level
2013-12-31,national,ARE,United Arab Emirates,32537.183,level
2014-12-31,national,ARE,United Arab Emirates,83775.332,level
2015-12-31,national,ARE,United Arab Emirates,42474.755,level
2016-12-31,national,ARE,United Arab Emirates,305191.278,level
2017-12-31,national,ARE,United Arab Emirates,558763.40208,level
2018-12-31,national,ARE,United Arab Emirates,412664.24635,level
2019-12-31,national,ARE,United Arab Emirates,449173.67891,level
2020-12-31,national,ARE,United Arab Emirates,46186.06959,level
2021-12-31,national,ARE,United Arab Emirates,83642.16329,level
2022-12-31,national,ARE,United Arab Emirates,269585.71231,level
2023-12-31,national,ARE,United Arab Emirates,210600.11495,level
1995-12-31,national,ARG,Argentina,139.6,level
1996-12-31,national,ARG,Argentina,20.5,level
2000-12-31,national,ARG,Argentina,4258.3,level
2001-12-31,national,ARG,Argentina,4754.4,level
2003-12-31,national,ARG,Argentina,110.9,level
2004-12-31,national,ARG,Argentina,1280.833,level
2005-12-31,national,ARG,Argentina,31.279,level
2006-12-31,national,ARG,Argentina,381.661,level
2007-12-31,national,ARG,Argentina,1588.951,level
2008-12-31,national,ARG,Argentina,8.584,level
2009-12-31,national,ARG,Argentina,20275.499,level
2010-12-31,national,ARG,Argentina,13610.983,level
2011-12-31,national,ARG,Argentina,10804.105,level
2012-12-31,national,ARG,Argentina,187.3,level
2013-12-31,national,ARG,Argentina,52.876,level
2014-12-31,national,ARG,Argentina,3477.81,level
2015-12-31,national,ARG,Argentina,5086.877,level
2016-12-31,national,ARG,Argentina,1661.919,level
2017-12-31,national,ARG,Argentina,7644.57984,level
2018-12-31,national,ARG,Argentina,4235.72207,level
2019-12-31,national,ARG,Argentina,4738.81259,level
2020-12-31,national,ARG,Argentina,9843.24601,level
2021-12-31,national,ARG,Argentina,18550.30762,level
2022-12-31,national,ARG,Argentina,27023.39559,level
2023-12-31,national,ARG,Argentina,26851.99471,level
1995-12-31,national,ARM,Armenia,182.594,level
1996-12-31,national,ARM,Armenia,82.194,level
1997-12-31,national,ARM,Armenia,56.299,level
1998-12-31,national,ARM,Armenia,778.899,level
1999-12-31,national,ARM,Armenia,7067.867,level
2000-12-31,national,ARM,Armenia,4116.7,level
2001-12-31,national,ARM,Armenia,2191.1,level
2002-12-31,national,ARM,Armenia,2027.0,level
2003-12-31,national,ARM,Armenia,5826.4,level
2004-12-31,national,ARM,Armenia,13572.103,level
2005-12-31,national,ARM,Armenia,43141.233,level
2006-12-31,national,ARM,Armenia,14644.607,level
2007-12-31,national,ARM,Armenia,6264.115,level
