date,value,transformation
1994-01-01,21.1,level
1994-02-01,23.2,level
1994-03-01,22.4,level
1994-04-01,21.7,level
1994-05-01,21.3,level
1994-06-01,22.6,level
1994-07-01,24.0,level
1994-08-01,25.8,level
1994-09-01,27.3,level
1994-10-01,27.7,level
1994-11-01,27.5,level
1994-12-01,25.5,level
1995-01-01,24.1,level
1995-02-01,22.4,level
1995-03-01,21.3,level
1995-04-01,20.7,level
1995-05-01,20.3,level
1995-06-01,18.2,level
1995-07-01,16.7,level
1995-08-01,14.5,level
1995-09-01,13.2,level
1995-10-01,12.1,level
1995-11-01,11.2,level
1995-12-01,10.1,level
1996-01-01,9.0,level
1996-02-01,9.3,level
1996-03-01,9.8,level
1996-04-01,9.7,level
1996-05-01,8.9,level
1996-06-01,8.6,level
1996-07-01,8.3,level
1996-08-01,8.1,level
1996-09-01,7.4,level
1996-10-01,7.0,level
1996-11-01,6.9,level
1996-12-01,7.0,level
1997-01-01,5.9,level
1997-02-01,5.6,level
1997-03-01,4.0,level
1997-04-01,3.2,level
1997-05-01,2.8,level
1997-06-01,2.8,level
1997-07-01,2.7,level
1997-08-01,1.9,level
1997-09-01,1.8,level
1997-10-01,1.5,level
1997-11-01,1.1,level
1997-12-01,0.4,level
1998-01-01,0.3,level
1998-02-01,-0.1,level
1998-03-01,0.7,level
1998-04-01,-0.3,level
1998-05-01,-1.0,level
1998-06-01,-1.3,level
1998-07-01,-1.4,level
1998-08-01,-1.4,level
1998-09-01,-1.5,level
1998-10-01,-1.1,level
1998-11-01,-1.2,level
1998-12-01,-1.0,level
1999-01-01,-1.2,level
1999-02-01,-1.3,level
1999-03-01,-1.8,level
1999-04-01,-2.2,level
1999-05-01,-2.2,level
1999-06-01,-2.1,level
1999-07-01,-1.4,level
1999-08-01,-1.3,level
1999-09-01,-0.8,level
1999-10-01,-0.6,level
1999-11-01,-0.9,level
1999-12-01,-1.0,level
2000-01-01,-0.2,level
2000-02-01,0.7,level
2000-03-01,-0.2,level
2000-04-01,-0.3,level
2000-05-01,0.1,level
2000-06-01,0.5,level
2000-07-01,0.5,level
2000-08-01,0.3,level
2000-09-01,0.0,level
2000-10-01,0.0,level
2000-11-01,1.3,level
2000-12-01,1.5,level
2001-01-01,1.2,level
2001-02-01,0.0,level
2001-03-01,0.8,level
2001-04-01,1.6,level
2001-05-01,1.7,level
2001-06-01,1.4,level
2001-07-01,1.5,level
2001-08-01,1.0,level
2001-09-01,-0.1,level
2001-10-01,0.2,level
2001-11-01,-0.3,level
2001-12-01,-0.3,level
2002-01-01,-1.0119,level
2002-02-01,-0.023,level
2002-03-01,-0.7271,level
2002-04-01,-1.2224,level
2002-05-01,-1.0239,level
2002-06-01,-0.7233,level
2002-07-01,-0.9229,level
2002-08-01,-0.7249,level
2002-09-01,-0.6265,level
2002-10-01,-0.7256,level
2002-11-01,-0.6262,level
2002-12-01,-0.4276,level
2003-01-01,0.3666,level
2003-02-01,0.168,level
2003-03-01,0.8784,level
2003-04-01,0.9796,level
2003-05-01,0.5745,level
2003-06-01,0.27,level
2003-07-01,0.472,level
2003-08-01,0.8727,level
2003-09-01,1.0724,level
2003-10-01,1.7785,level
2003-11-01,2.8992,level
2003-12-01,3.207,level
2004-01-01,3.207,level
2004-02-01,2.0818,level
2004-03-01,3.0061,level
2004-04-01,3.7286,level
2004-05-01,4.3553,level
2004-06-01,4.8835,level
2004-07-01,5.1997,level
2004-08-01,5.1997,level
2004-09-01,5.0957,level
2004-10-01,4.1583,level
2004-11-01,2.8177,level
2004-12-01,2.3066,level
2005-01-01,1.8007,level
2005-02-01,3.8408,level
2005-03-01,2.5984,level
2005-04-01,1.7817,level
2005-05-01,1.6798,level
2005-06-01,1.5774,level
2005-07-01,1.781,level
2005-08-01,1.2756,level
2005-09-01,0.8749,level
2005-10-01,1.2784,level
2005-11-01,1.2784,level
2005-12-01,1.582,level
2006-01-01,2.2888,level
2006-02-01,0.9825,level
2006-03-01,0.9825,level
2006-04-01,1.489,level
2006-05-01,1.5907,level
2006-06-01,1.8979,level
2006-07-01,1.5922,level
2006-08-01,1.6936,level
2006-09-01,1.4916,level
2006-10-01,1.1884,level
2006-11-01,1.7973,level
2006-12-01,2.8112,level
2007-01-01,2.2023,level
2007-02-01,2.7108,level
2007-03-01,3.3326,level
2007-04-01,3.0232,level
2007-05-01,3.4357,level
2007-06-01,4.3713,level
2007-07-01,5.6276,level
2007-08-01,6.5754,level
2007-09-01,6.3633,level
2007-10-01,6.5758,level
2007-11-01,7.0008,level
2007-12-01,6.5787,level
2008-01-01,7.1079,level
2008-02-01,8.8047,level
2008-03-01,8.3681,level
2008-04-01,8.5851,level
2008-05-01,7.8273,level
2008-06-01,7.1829,level
2008-07-01,6.3331,level
2008-08-01,4.9671,level
2008-09-01,4.6532,level
2008-10-01,4.0271,level
2008-11-01,2.4776,level
2008-12-01,1.26,level
2009-01-01,0.9598,level
2009-02-01,-1.5986,level
2009-03-01,-1.2022,level
2009-04-01,-1.4983,level
2009-05-01,-1.3994,level
2009-06-01,-1.6958,level
2009-07-01,-1.794,level
2009-08-01,-1.2042,level
2009-09-01,-0.809,level
2009-10-01,-0.6076,level
2009-11-01,0.4955,level
2009-12-01,1.7039,level
2010-01-01,1.3956,level
2010-02-01,2.6182,level
2010-03-01,2.2012,level
2010-04-01,2.615,level
2010-05-01,2.8232,level
2010-06-01,2.7163,level
2010-07-01,3.1292,level
2010-08-01,3.2282,level
2010-09-01,3.4349,level
2010-10-01,4.2631,level
2010-11-01,5.0921,level
2010-12-01,4.5713,level
2011-01-01,4.9955,level
2011-02-01,5.0708,level
2011-03-01,5.6046,level
2011-04-01,5.4955,level
2011-05-01,5.7048,level
2011-06-01,6.6667,level
2011-07-01,6.7057,level
2011-08-01,6.3744,level
2011-09-01,6.2381,level
2011-10-01,5.5962,level
2011-11-01,4.2528,level
2011-12-01,4.0273,level
2012-01-01,4.5411,level
2012-02-01,3.126,level
2012-03-01,3.5246,level
2012-04-01,3.3251,level
2012-05-01,2.9353,level
2012-06-01,2.0556,level
2012-07-01,1.7045,level
2012-08-01,2.0781,level
2012-09-01,1.9102,level
2012-10-01,1.7081,level
2012-11-01,2.0696,level
2012-12-01,2.5313,level
2013-01-01,2.0248,level
2013-02-01,3.2421,level
2013-03-01,2.1249,level
2013-04-01,2.4214,level
2013-05-01,2.091,level
2013-06-01,2.6619,level
2013-07-01,2.6677,level
2013-08-01,2.5153,level
2013-09-01,3.0162,level
2013-10-01,3.2275,level
2013-11-01,2.952,level
2013-12-01,2.5066,level
2014-01-01,2.507,level
2014-02-01,1.9062,level
2014-03-01,2.312,level
2014-04-01,1.6959,level
2014-05-01,2.4128,level
2014-06-01,2.3087,level
2014-07-01,2.2076,level
2014-08-01,1.9031,level
2014-09-01,1.6111,level
2014-10-01,1.5092,level
2014-11-01,1.303,level
2014-12-01,1.4097,level
2015-01-01,0.7099,level
2015-02-01,1.4127,level
2015-03-01,1.3184,level
2015-04-01,1.5275,level
2015-05-01,1.2208,level
2015-06-01,1.3238,level
2015-07-01,1.7312,level
2015-08-01,2.0325,level
2015-09-01,1.6178,level
2015-10-01,1.2133,level
2015-11-01,1.5213,level
2015-12-01,1.6162,level
2016-01-01,1.8127,level
2016-02-01,2.1891,level
2016-03-01,2.3023,level
2016-04-01,2.3069,level
2016-05-01,2.1106,level
2016-06-01,1.9095,level
2016-07-01,1.7017,level
2016-08-01,1.2948,level
2016-09-01,1.8905,level
2016-10-01,2.1978,level
2016-11-01,2.2977,level
2016-12-01,1.9881,level
2017-01-01,2.5717,level
2017-02-01,0.779,level
2017-03-01,0.9785,level
2017-04-01,1.1765,level
2017-05-01,1.6732,level
2017-06-01,1.6765,level
2017-07-01,1.378,level
2017-08-01,1.7699,level
2017-09-01,1.6602,level
2017-10-01,1.8573,level
2017-11-01,1.7578,level
2017-12-01,1.8518,level
2018-01-01,1.4465,level
2018-02-01,2.8985,level
2018-03-01,2.0349,level
2018-04-01,1.8411,level
2018-05-01,1.5489,level
2018-06-01,1.7459,level
2018-07-01,2.1359,level
2018-08-01,2.3188,level
2018-09-01,2.4015,level
2018-10-01,2.4952,level
2018-11-01,2.1113,level
2018-12-01,1.9139,level
2019-01-01,1.711,level
2019-02-01,1.5023,level
2019-03-01,2.2792,level
2019-04-01,2.569,level
2019-05-01,2.7645,level
2019-06-01,2.6692,level
2019-07-01,2.7566,level
2019-08-01,2.8329,level
2019-09-01,3.0019,level
2019-10-01,3.7453,level
2019-11-01,4.5113,level
2019-12-01,4.4132,level
2020-01-01,5.4205,level
2020-02-01,5.1804,level
2020-03-01,4.2711,level
2020-04-01,3.2468,level
2020-05-01,2.4119,level
2020-06-01,2.507,level
2020-07-01,1.7576,level
2020-08-01,2.3875,level
2020-09-01,1.7304,level
2020-10-01,0.5415,level
2020-11-01,-0.4496,level
2020-12-01,0.2698,level
2021-01-01,-0.2216,level
2021-02-01,-0.4228,level
2021-03-01,0.3219,level
2021-04-01,0.9226,level
2021-05-01,1.6444,level
2021-06-01,1.2402,level
2021-07-01,1.9126,level
2021-08-01,0.6416,level
2021-09-01,0.4614,level
2021-10-01,1.4328,level
2021-11-01,2.4773,level
2021-12-01,1.4419,level
2022-01-01,0.9911,level
2022-02-01,0.9852,level
2022-03-01,1.4851,level
2022-04-01,2.1847,level
2022-05-01,2.0875,level
2022-06-01,2.495,level
2022-07-01,2.6866,level
2022-08-01,2.4851,level
2022-09-01,2.7833,level
2022-10-01,2.1718,level
2022-11-01,1.5733,level
2022-12-01,1.7751,level
2023-01-01,2.0608,level
2023-02-01,0.9756,level
2023-03-01,0.6829,level
2023-04-01,0.0972,level
2023-05-01,0.1947,level
