date,value,transformation
2008-03-31,56.39038590830025,level
2008-06-30,57.38028001656718,level
2008-09-30,55.91760178668566,level
2008-12-31,50.27333507869165,level
2009-03-31,68.68263488205447,level
2009-06-30,58.87376740341156,level
2009-09-30,59.76636521908937,level
2009-12-31,64.10380272296943,level
2010-03-31,74.73591593903437,level
2010-06-30,69.38442491545607,level
2010-09-30,68.08819583692184,level
2010-12-31,67.52337997582661,level
2011-03-31,68.01848512071707,level
2011-06-30,65.93296667494192,level
2011-09-30,60.32239145139894,level
2011-12-31,59.39285770740783,level
2012-03-31,59.56244717507814,level
2012-06-30,58.9945017784513,level
2012-09-30,52.608312941045,level
2012-12-31,50.28009306990649,level
2013-03-31,45.49978914194429,level
2013-06-30,54.50586082901871,level
2013-09-30,52.34773114443619,level
2013-12-31,51.05396663749155,level
2014-03-31,57.80316231813522,level
2014-06-30,56.15334205197983,level
2014-09-30,59.2013219335173,level
2014-12-31,57.61255198183512,level
2015-03-31,52.24729303740258,level
2015-06-30,55.99905809645511,level
2015-09-30,62.14448687946694,level
2015-12-31,78.32319693114287,level
2016-03-31,69.95066216448987,level
2016-06-30,76.3013166005871,level
2016-09-30,68.9363862877207,level
2016-12-31,75.74579755207178,level
2017-03-31,73.26181289130236,level
2017-06-30,77.61229075697142,level
2017-09-30,91.54783074018263,level
2017-12-31,97.71441131164484,level
2018-03-31,96.2281148955613,level
2018-06-30,93.8548174184719,level
2018-09-30,92.31517388705252,level
2018-12-31,90.76006579561643,level
2019-03-31,116.1426306571564,level
2019-06-30,109.2291662628822,level
2019-09-30,93.77753349131855,level
2019-12-31,95.86611043017777,level
2020-03-31,91.98944005056806,level
2020-06-30,112.5401401922765,level
2020-09-30,111.6010945948845,level
2020-12-31,103.6357303111433,level
2021-03-31,106.0781816180617,level
2021-06-30,95.63418937305423,level
2021-09-30,89.64298918283383,level
2021-12-31,75.48298608052785,level
2022-03-31,68.45630581685297,level
2022-06-30,76.5235236742085,level
2022-09-30,75.425144762288,level
2022-12-31,73.23870747901131,level
2023-03-31,74.10430305737734,level
2023-06-30,75.58414750227001,level
2023-09-30,76.77521562671951,level
2023-12-31,74.24141140642503,level
2024-03-31,74.6735527370872,level
2024-06-30,75.22400013161743,level
2024-09-30,72.98823533344523,level
2024-12-31,70.92190263582249,level
2025-03-31,69.98751695372626,level
2025-06-30,68.0991726328787,level
2025-09-30,65.46417228945697,level
2025-12-31,66.8180159650669,level
