date,value,transformation
2008-03-31,11.84239252287932,level
2008-06-30,11.59231502538026,level
2008-09-30,11.44620228852729,level
2008-12-31,11.6365914384374,level
2009-03-31,10.81664532901906,level
2009-06-30,5.677529138109709,level
2009-09-30,4.440044073039253,level
2009-12-31,5.904242537941516,level
2010-03-31,12.97271185413035,level
2010-06-30,13.67995926353772,level
2010-09-30,13.37996688961475,level
2010-12-31,13.04685324874835,level
2011-03-31,13.11931504910469,level
2011-06-30,14.21866237499792,level
2011-09-30,13.53056631219413,level
2011-12-31,13.04119453335059,level
2012-03-31,14.04160491059015,level
2012-06-30,13.36027601639884,level
2012-09-30,13.19016375938965,level
2012-12-31,12.70077775460463,level
2013-03-31,14.08793787352844,level
2013-06-30,12.78761743853645,level
2013-09-30,12.57170297541061,level
2013-12-31,12.47018716155657,level
2014-03-31,13.64185490354789,level
2014-06-30,12.8505579591448,level
2014-09-30,12.31162423610125,level
2014-12-31,13.77010831822735,level
2015-03-31,15.89579950701846,level
2015-06-30,14.96581962748597,level
2015-09-30,13.7322070451635,level
2015-12-31,13.09588502565297,level
2016-03-31,13.41961425585534,level
2016-06-30,13.73357603930141,level
2016-09-30,14.0187857565793,level
2016-12-31,14.30212630433993,level
2017-03-31,15.03818320886061,level
2017-06-30,14.81368011842906,level
2017-09-30,15.80698191663252,level
2017-12-31,17.45060213419579,level
2018-03-31,17.48559470847144,level
2018-06-30,16.75799969335782,level
2018-09-30,16.70364931206975,level
2018-12-31,16.78561515534151,level
2019-03-31,17.9495325782169,level
2019-06-30,17.50560247081189,level
2019-09-30,17.8608211004617,level
2019-12-31,19.10787708344771,level
2020-03-31,19.50154737406443,level
2020-06-30,21.00296470555983,level
2020-09-30,19.93387841373836,level
2020-12-31,21.28805556893632,level
2021-03-31,21.25793259323272,level
2021-06-30,20.19710325138254,level
2021-09-30,20.25850107954612,level
2021-12-31,19.30038593547976,level
2022-03-31,18.92770823263348,level
2022-06-30,16.43719903387506,level
2022-09-30,17.61386451475363,level
2022-12-31,18.55551348514501,level
2023-03-31,19.58677795077405,level
2023-06-30,18.62942013711299,level
2023-09-30,18.84966845029911,level
2023-12-31,19.2439315783905,level
2024-03-31,19.39533330410524,level
2024-06-30,19.09296931709616,level
2024-09-30,20.14570648871596,level
2024-12-31,20.36132823859134,level
2025-03-31,20.59904504261866,level
2025-06-30,19.53015283331845,level
2025-09-30,19.1342298286525,level
2025-12-31,20.05387365924346,level
