date,value,transformation
1992-12-31,0.033765,level
1993-12-31,0.764775,level
1994-12-31,7.300427,level
1995-12-31,11.709034,level
1996-12-31,15.069527,level
1997-12-31,16.757314,level
1998-12-31,17.075703,level
1999-12-31,20.115179,level
2000-12-31,22.086466,level
2001-12-31,23.5,level
2002-12-31,25.1,level
2003-12-31,26.9,level
2004-12-31,28.7,level
2005-12-31,30.8,level
2006-12-31,33.4,level
2007-12-31,39.6,level
2008-12-31,43.4,level
2009-12-31,46.1,level
2010-12-31,49.6,level
2011-12-31,53.3,level
2012-12-31,56.5,level
2013-12-31,59.1,level
2014-12-31,63.5,level
2015-12-31,72.2,level
2016-12-31,78.3,level
2017-12-31,83.8,level
2018-12-31,88.3,level
2019-12-31,93.1,level
2020-12-31,100.0,level
2021-12-31,108.4,level
2022-12-31,130.5,level
2023-12-31,143.2,level
2024-12-31,155.5,level
2025-12-31,174.7,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,194.013067,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,211.668252,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,229.660049,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,245.276929,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,257.540774,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,270.417811,IMF WEO estimate/projection (country update 9/29/2025)
