date,value,transformation
1992-01-01,0.013482,level
1993-01-01,0.237583,level
1994-01-01,3.568466,level
1995-01-01,9.862497,level
1996-01-01,13.726653,level
1997-01-01,16.11526,level
1998-01-01,17.264667,level
1999-01-01,18.701551,level
2000-01-01,21.161519,level
2001-01-01,22.933333,level
2002-01-01,24.3,level
2003-01-01,25.85,level
2004-01-01,27.658333,level
2005-01-01,29.708333,level
2006-01-01,32.266667,level
2007-01-01,35.75,level
2008-01-01,41.883333,level
2009-01-01,44.941667,level
2010-01-01,48.133333,level
2011-01-01,52.166667,level
2012-01-01,54.841667,level
2013-01-01,58.033333,level
2014-01-01,61.85,level
2015-01-01,66.025,level
2016-01-01,75.641667,level
2017-01-01,81.283333,level
2018-01-01,86.166667,level
2019-01-01,90.716667,level
2020-01-01,96.85,level
2021-01-01,104.6,level
2022-01-01,120.275,level
2023-01-01,137.741667,level
2024-01-01,149.691667,level
2025-01-01,166.725,level
2026-01-01,184.545407,level
2027-01-01,203.098451,level
2028-01-01,220.935672,level
2029-01-01,237.726087,level
2030-01-01,251.629673,level
2031-01-01,264.211155,level
