date,value,transformation
1992-01-01,-1485277000.0,level
1993-01-01,-444953000.0,level
1994-01-01,-910449000.0,level
1995-01-01,-213100000.0,level
1996-01-01,-751000000.0,level
1997-01-01,-799300000.0,level
1998-01-01,-1224900000.0,level
1999-01-01,-171000000.0,level
2000-01-01,366309000.0,level
2001-01-01,-1389516000.0,level
2002-01-01,-1024341000.0,level
2003-01-01,-272631000.0,level
2004-01-01,335428000.0,level
2005-01-01,358800000.0,level
2006-01-01,-823000000.0,level
2007-01-01,-4767400000.0,level
2008-01-01,1287200000.0,level
2009-01-01,-134400000.0,level
2010-01-01,2677600000.0,level
2011-01-01,14067500000.0,level
2012-01-01,2628500000.0,level
2013-01-01,4527300000.0,level
2014-01-01,-2852800000.0,level
2015-01-01,-9979400000.0,level
2016-01-01,-6964600000.0,level
2017-01-01,-3426400000.0,level
2018-01-01,-1765600000.0,level
2019-01-01,-7028200000.0,level
2020-01-01,-11054800000.0,level
2021-01-01,-2679400000.0,level
2022-01-01,6436400000.0,level
2023-01-01,-9315500000.0,level
2024-01-01,-7935500000.0,level
2025-01-01,-11844600000.0,level
2026-01-01,-3772688000.0,level
2027-01-01,-7841870000.0,level
2028-01-01,-9967879000.0,level
2029-01-01,-10072789000.0,level
2030-01-01,-10366111000.0,level
2031-01-01,-9953315000.0,level
