date,value,transformation
1992-01-01,0.043287,level
1993-01-01,0.584972,level
1994-01-01,9.482983,level
1995-01-01,24.740016,level
1996-01-01,34.363798,level
1997-01-01,39.90858,level
1998-01-01,42.168518,level
1999-01-01,47.768741,level
2000-01-01,56.092824,level
2001-01-01,61.790123,level
2002-01-01,65.376493,level
2003-01-01,73.050575,level
2004-01-01,84.835882,level
2005-01-01,100.0,level
2006-01-01,121.550001,level
2007-01-01,140.423191,level
2008-01-01,169.822944,level
2009-01-01,177.789485,level
2010-01-01,212.533613,level
2011-01-01,255.955989,level
2012-01-01,267.694072,level
2013-01-01,293.399339,level
2014-01-01,310.03458,level
2015-01-01,316.313345,level
2016-01-01,360.166021,level
2017-01-01,401.315631,level
2018-01-01,438.259167,level
2019-01-01,471.712751,level
2020-01-01,492.080598,level
2021-01-01,561.704888,level
2022-01-01,672.748366,level
2023-01-01,736.809132,level
2024-01-01,803.072705,level
2025-01-01,870.288185,level
2026-01-01,992.521081,level
2027-01-01,1091.12937,level
2028-01-01,1188.108681,level
2029-01-01,1281.861532,level
2030-01-01,1362.461818,level
2031-01-01,1434.987636,level
