date,value,transformation
1993-12-31,-9.2,level
1994-12-31,-12.57976,level
1995-12-31,-8.2,level
1996-12-31,0.5,level
1997-12-31,1.7,level
1998-12-31,-1.9,level
1999-12-31,2.7,level
2000-12-31,9.800298,level
2001-12-31,13.499461,level
2002-12-31,9.799076,level
2003-12-31,9.300232,level
2004-12-31,9.598631,level
2005-12-31,9.700176,level
2006-12-31,10.701546,level
2007-12-31,8.9,level
2008-12-31,3.3,level
2009-12-31,1.2,level
2010-12-31,7.3,level
2011-12-31,7.5,level
2012-12-31,5.000001,level
2013-12-31,5.9,level
2014-12-31,4.3,level
2015-12-31,0.999999,level
2016-12-31,0.9,level
2017-12-31,3.900001,level
2018-12-31,4.099999,level
2019-12-31,4.5,level
2020-12-31,-2.6,level
2021-12-31,4.100001,level
2022-12-31,3.199999,level
2023-12-31,5.1,level
2024-12-31,5.0,level
2025-12-31,6.485254,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,4.609374,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,4.400226,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,3.308862,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,3.596039,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,3.59838,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,3.613475,IMF WEO estimate/projection (country update 9/29/2025)
