date,value,transformation
1992-12-31,116412840000.0,level
1993-12-31,108208073000.0,level
1994-12-31,96615815000.0,level
1995-12-31,90552700000.0,level
1996-12-31,92671679000.0,level
1997-12-31,95872282000.0,level
1998-12-31,95107833000.0,level
1999-12-31,99057881000.0,level
2000-12-31,111229623000.0,level
2001-12-31,129087580000.0,level
2002-12-31,143939614000.0,level
2003-12-31,160432293000.0,level
2004-12-31,180559500000.0,level
2005-12-31,204285339000.0,level
2006-12-31,233121136000.0,level
2007-12-31,260746911000.0,level
2008-12-31,274540378000.0,level
2009-12-31,279548388000.0,level
2010-12-31,303601001000.0,level
2011-12-31,333104921000.0,level
2012-12-31,356272468000.0,level
2013-12-31,383714079000.0,level
2014-12-31,407184369000.0,level
2015-12-31,415072887000.0,level
2016-12-31,422788160000.0,level
2017-12-31,447143867000.0,level
2018-12-31,475138148000.0,level
2019-12-31,551108135000.0,level
2020-12-31,565757227000.0,level
2021-12-31,650469815000.0,level
2022-12-31,719029402000.0,level
2023-12-31,783661048000.0,level
2024-12-31,843271572000.0,level
2025-12-31,923432902000.0,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,993671763000.0,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,1060175757000.0,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,1113232934000.0,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,1173771528000.0,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,1238352763000.0,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,1306264163000.0,IMF WEO estimate/projection (country update 9/29/2025)
