date,value,transformation
1992-12-31,0.352044,level
1993-12-31,0.313844,level
1994-12-31,0.266785,level
1995-12-31,0.236348,level
1996-12-31,0.228871,level
1997-12-31,0.223615,level
1998-12-31,0.213758,level
1999-12-31,0.212164,level
2000-12-31,0.221585,level
2001-12-31,0.245516,level
2002-12-31,0.262333,level
2003-12-31,0.276651,level
2004-12-31,0.288393,level
2005-12-31,0.302396,level
2006-12-31,0.318282,level
2007-12-31,0.329411,level
2008-12-31,0.33098,level
2009-12-31,0.337168,level
2010-12-31,0.344097,level
2011-12-31,0.35629,level
2012-12-31,0.362411,level
2013-12-31,0.371439,level
2014-12-31,0.374399,level
2015-12-31,0.365924,level
2016-12-31,0.35803,level
2017-12-31,0.358476,level
2018-12-31,0.358096,level
2019-12-31,0.392043,level
2020-12-31,0.403423,level
2021-12-31,0.414088,level
2022-12-31,0.412252,level
2023-12-31,0.419616,level
2024-12-31,0.426269,level
2025-12-31,0.439047,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,0.446074,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,0.4513,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,0.451736,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,0.453779,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,0.456218,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,0.458749,IMF WEO estimate/projection (country update 9/29/2025)
