date,value,transformation
2002-01-01,1.923888,level
2003-01-01,3.996049,level
2004-01-01,3.28732,level
2005-01-01,6.077755,level
2006-01-01,7.652629,level
2007-01-01,5.134415,level
2008-01-01,1.227135,level
2009-01-01,-1.328049,level
2010-01-01,1.469692,level
2011-01-01,5.811036,level
2012-01-01,4.430882,level
2013-01-01,4.945694,level
2014-01-01,2.481848,level
2015-01-01,-6.259289,level
2016-01-01,-4.503217,level
2017-01-01,-4.265509,level
2018-01-01,2.579564,level
2019-01-01,-0.569543,level
2020-01-01,-7.036965,level
2021-01-01,-4.966052,level
2022-01-01,0.105381,level
2023-01-01,-1.41244,level
2024-01-01,-3.434168,level
2025-01-01,-3.113865,level
2026-01-01,-1.343847,level
2027-01-01,-1.777447,level
2028-01-01,-2.018662,level
2029-01-01,-1.966799,level
2030-01-01,-1.739838,level
2031-01-01,-1.716655,level
