date,value,transformation
2002-01-01,72651331000.0,level
2003-01-01,184296769000.0,level
2004-01-01,192970091000.0,level
2005-01-01,461337688000.0,level
2006-01-01,781618891000.0,level
2007-01-01,659761723000.0,level
2008-01-01,196991013000.0,level
2009-01-01,-225869840000.0,level
2010-01-01,320621004000.0,level
2011-01-01,1641213908000.0,level
2012-01-01,1374246209000.0,level
2013-01-01,1780401459000.0,level
2014-01-01,984693820000.0,level
2015-01-01,-2559056190000.0,level
2016-01-01,-2115212774000.0,level
2017-01-01,-2319534930000.0,level
2018-01-01,1594674728000.0,level
2019-01-01,-396017997000.0,level
2020-01-01,-4971547795000.0,level
2021-01-01,-4169079555000.0,level
2022-01-01,109348717000.0,level
2023-01-01,-1687050564000.0,level
2024-01-01,-4694277577000.0,level
2025-01-01,-4911846796000.0,level
2026-01-01,-2528960197000.0,level
2027-01-01,-3839076326000.0,level
2028-01-01,-4904685959000.0,level
2029-01-01,-5341162087000.0,level
2030-01-01,-5202603556000.0,level
2031-01-01,-5601896717000.0,level
