date,value,transformation
2002-01-01,17.59187,level
2003-01-01,14.962494,level
2004-01-01,11.391569,level
2005-01-01,8.104407,level
2006-01-01,6.676952,level
2007-01-01,4.091989,level
2008-01-01,6.76587,level
2009-01-01,10.227029,level
2010-01-01,10.682735,level
2011-01-01,10.161007,level
2012-01-01,12.125267,level
2013-01-01,12.602508,level
2014-01-01,14.496344,level
2015-01-01,21.881937,level
2016-01-01,19.677354,level
2017-01-01,19.869432,level
2018-01-01,20.25854,level
2019-01-01,19.943728,level
2020-01-01,26.357133,level
2021-01-01,25.100451,level
2022-01-01,23.524056,level
2023-01-01,22.981963,level
2024-01-01,24.376956,level
2025-01-01,24.561214,level
2026-01-01,24.931411,level
2027-01-01,26.310051,level
2028-01-01,27.990697,level
2029-01-01,29.515861,level
2030-01-01,30.828005,level
2031-01-01,32.106012,level
