date,value,transformation
2002-12-31,775163204000.0,level
2003-12-31,984892412000.0,level
2004-12-31,1248152595000.0,level
2005-12-31,1670386428000.0,level
2006-12-31,2022298111000.0,level
2007-12-31,3045990034000.0,level
2008-12-31,4345252048000.0,level
2009-12-31,3991720417000.0,level
2010-12-31,4902692826000.0,level
2011-12-31,5997105817000.0,level
2012-12-31,6796054472000.0,level
2013-12-31,7130917075000.0,level
2014-12-31,8435174387000.0,level
2015-12-31,9350323220000.0,level
2016-12-31,10104278780000.0,level
2017-12-31,13098734901000.0,level
2018-12-31,11650897932000.0,level
2019-12-31,14079303842000.0,level
2020-12-31,17341503986000.0,level
2021-12-31,18527826281000.0,level
2022-12-31,22535387329000.0,level
2023-12-31,27940288324000.0,level
2024-12-31,30984693053000.0,level
2025-12-31,34458489069000.0,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,39028088847000.0,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,44854129069000.0,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,50826532344000.0,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,56505451413000.0,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,62595095080000.0,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,69450172320000.0,IMF WEO estimate/projection (country update 9/29/2025)
