date,value,transformation
2002-12-31,20.527181,level
2003-12-31,21.355112,level
2004-12-31,21.262762,level
2005-12-31,22.006004,level
2006-12-31,19.799798,level
2007-12-31,23.704583,level
2008-12-31,27.068299,level
2009-12-31,23.470151,level
2010-12-31,22.47342,level
2011-12-31,21.233915,level
2012-12-31,21.912022,level
2013-12-31,19.808639,level
2014-12-31,21.260233,level
2015-12-31,22.870298,level
2016-12-31,21.51167,level
2017-12-31,24.087918,level
2018-12-31,18.846628,level
2019-12-31,20.248485,level
2020-12-31,24.545989,level
2021-12-31,22.069656,level
2022-12-31,21.717607,level
2023-12-31,23.392291,level
2024-12-31,22.667306,level
2025-12-31,21.84496,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,20.738868,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,20.766928,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,20.91909,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,20.807245,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,20.932849,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,21.282434,IMF WEO estimate/projection (country update 9/29/2025)
