date,value,transformation
2002-01-01,7.852133,level
2003-01-01,3.579942,level
2004-01-01,0.028455,level
2005-01-01,-6.146843,level
2006-01-01,-10.903329,level
2007-01-01,-15.573866,level
2008-01-01,-13.912514,level
2009-01-01,-11.029506,level
2010-01-01,-10.249393,level
2011-01-01,-12.70566,level
2012-01-01,-15.94063,level
2013-01-01,-17.60401,level
2014-01-01,-19.140377,level
2015-01-01,-30.753841,level
2016-01-01,-23.759383,level
2017-01-01,-15.671288,level
2018-01-01,-14.931304,level
2019-01-01,-13.908908,level
2020-01-01,-8.623908,level
2021-01-01,-3.346553,level
2022-01-01,-1.238086,level
2023-01-01,0.184939,level
2024-01-01,2.131847,level
2025-01-01,6.458785,level
2026-01-01,5.959617,level
2027-01-01,6.169785,level
2028-01-01,6.82191,level
2029-01-01,7.53084,level
2030-01-01,8.223793,level
2031-01-01,8.986699,level
