date,value,transformation
1994-12-31,94000000000.0,level
1995-12-31,171000000000.0,level
1996-12-31,187200000000.0,level
1997-12-31,225246000000.0,level
1998-12-31,315242136000.0,level
1999-12-31,353651189000.0,level
2000-12-31,568200000000.0,level
2001-12-31,833900000000.0,level
2002-12-31,847814535000.0,level
2003-12-31,1169189181000.0,level
2004-12-31,1441122686000.0,level
2005-12-31,2131724116000.0,level
2006-12-31,2803917002000.0,level
2007-12-31,3705751757000.0,level
2008-12-31,4542243061000.0,level
2009-12-31,3765850577000.0,level
2010-12-31,5223313830000.0,level
2011-12-31,7638319725000.0,level
2012-12-31,8170300681000.0,level
2013-12-31,8911318534000.0,level
2014-12-31,9419868207000.0,level
2015-12-31,6791267030000.0,level
2016-12-31,7989066006000.0,level
2017-12-31,10779199971000.0,level
2018-12-31,13245572660000.0,level
2019-12-31,13683285845000.0,level
2020-12-31,12369956192000.0,level
2021-12-31,14358746726000.0,level
2022-12-31,22644736046000.0,level
2023-12-31,26253237760000.0,level
2024-12-31,26290415476000.0,level
2025-12-31,29546642273000.0,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,36499128650000.0,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,41015052743000.0,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,45921846385000.0,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,51164289326000.0,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,57392491524000.0,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,63848275603000.0,IMF WEO estimate/projection (country update 9/29/2025)
