date,value,transformation
1993-01-01,13.087335,level
1994-01-01,-20.773372,level
1995-01-01,23.122596,level
1996-01-01,21.600001,level
1997-01-01,17.288219,level
1998-01-01,2.049388,level
1999-01-01,-6.165625,level
2000-01-01,29.963725,level
2001-01-01,22.95061,level
2002-01-01,12.199099,level
2003-01-01,2.577467,level
2004-01-01,28.165955,level
2005-01-01,28.303354,level
2006-01-01,10.89743,level
2007-01-01,24.411257,level
2008-01-01,6.152312,level
2009-01-01,-10.988415,level
2010-01-01,-5.88078,level
2011-01-01,3.87992,level
2012-01-01,27.747337,level
2013-01-01,6.918568,level
2014-01-01,-5.911134,level
2015-01-01,-5.271598,level
2016-01-01,-13.804368,level
2017-01-01,4.98587,level
2018-01-01,8.426656,level
2019-01-01,12.602936,level
2020-01-01,-27.405784,level
2021-01-01,-10.813287,level
2022-01-01,14.507729,level
2023-01-01,25.145606,level
2024-01-01,2.500878,level
2025-01-01,6.380637,level
2026-01-01,0.639714,level
2027-01-01,3.369352,level
2028-01-01,0.771599,level
2029-01-01,4.573309,level
2030-01-01,2.794135,level
2031-01-01,1.568291,level
