date,value,transformation
1993-12-31,1662.274815,level
1994-12-31,1401.986512,level
1995-12-31,176.37918,level
1996-12-31,39.1803,level
1997-12-31,17.401233,level
1998-12-31,7.132416,level
1999-12-31,8.322683,level
2000-12-31,13.153821,level
2001-12-31,8.372812,level
2002-12-31,5.959302,level
2003-12-31,6.378601,level
2004-12-31,6.995487,level
2005-12-31,7.411871,level
2006-12-31,8.611501,level
2007-12-31,10.795455,level
2008-12-31,17.156177,level
2009-12-31,7.302029,level
2010-12-31,7.101799,level
2011-12-31,8.379501,level
2012-12-31,5.127796,level
2013-12-31,5.819784,level
2014-12-31,6.57668,level
2015-12-31,6.750202,level
2016-12-31,14.56519,level
2017-12-31,7.458411,level
2018-12-31,6.007792,level
2019-12-31,5.280464,level
2020-12-31,6.760977,level
2021-12-31,8.002065,level
2022-12-31,14.98566,level
2023-12-31,14.522275,level
2024-12-31,8.675661,level
2025-12-31,11.378946,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,10.688503,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,10.053376,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,8.782549,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,7.599685,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,5.848574,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,4.999999,IMF WEO estimate/projection (country update 9/29/2025)
