date,value,transformation
1993-12-31,2165.0,level
1994-12-31,854.585082,level
1995-12-31,60.38836,level
1996-12-31,28.7,level
1997-12-31,11.2,level
1998-12-31,1.9,level
1999-12-31,17.8,level
2000-12-31,9.8,level
2001-12-31,6.4,level
2002-12-31,6.808511,level
2003-12-31,7.171315,level
2004-12-31,6.69145,level
2005-12-31,7.317073,level
2006-12-31,8.441558,level
2007-12-31,18.562874,level
2008-12-31,9.59596,level
2009-12-31,6.221198,level
2010-12-31,7.592191,level
2011-12-31,7.459677,level
2012-12-31,6.003752,level
2013-12-31,4.60177,level
2014-12-31,7.445008,level
2015-12-31,13.700787,level
2016-12-31,8.448753,level
2017-12-31,7.024266,level
2018-12-31,5.369928,level
2019-12-31,5.436014,level
2020-12-31,7.411386,level
2021-12-31,8.4,level
2022-12-31,20.387454,level
2023-12-31,9.731801,level
2024-12-31,8.589385,level
2025-12-31,12.347267,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,11.05499,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,9.099998,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,8.499998,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,6.799999,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,4.999999,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,4.999999,IMF WEO estimate/projection (country update 9/29/2025)
