date,value,transformation
1992-12-31,40.91456,level
1993-12-31,26.849225,level
1994-12-31,28.703784,level
1995-12-31,23.319073,level
1996-12-31,16.146974,level
1997-12-31,15.598629,level
1998-12-31,15.804366,level
1999-12-31,17.77617,level
2000-12-31,18.139132,level
2001-12-31,26.876327,level
2002-12-31,27.287723,level
2003-12-31,25.703955,level
2004-12-31,26.310984,level
2005-12-31,30.969777,level
2006-12-31,33.900834,level
2007-12-31,35.526699,level
2008-12-31,27.506485,level
2009-12-31,29.414565,level
2010-12-31,25.373549,level
2011-12-31,22.998146,level
2012-12-31,25.22966,level
2013-12-31,24.569605,level
2014-12-31,25.790247,level
2015-12-31,27.907915,level
2016-12-31,27.827583,level
2017-12-31,26.352482,level
2018-12-31,25.258212,level
2019-12-31,27.627575,level
2020-12-31,28.806915,level
2021-12-31,26.533436,level
2022-12-31,24.97591,level
2023-12-31,28.122224,level
2024-12-31,27.351386,level
2025-12-31,28.431067,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,28.985938,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,29.923506,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,31.078198,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,32.200393,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,32.76367,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,33.107246,IMF WEO estimate/projection (country update 9/29/2025)
