date,value,transformation
1992-12-31,2435224000.0,level
1993-12-31,29881368000.0,level
1994-12-31,423469391000.0,level
1995-12-31,1014190936000.0,level
1996-12-31,1415751307000.0,level
1997-12-31,1672141543000.0,level
1998-12-31,1733261600000.0,level
1999-12-31,2016461861000.0,level
2000-12-31,2599902399000.0,level
2001-12-31,3250593000000.0,level
2002-12-31,3776277000000.0,level
2003-12-31,4611975000000.0,level
2004-12-31,5870134000000.0,level
2005-12-31,7590594000000.0,level
2006-12-31,10213731000000.0,level
2007-12-31,12849794000000.0,level
2008-12-31,16052919000000.0,level
2009-12-31,17007647000000.0,level
2010-12-31,21815517000000.0,level
2011-12-31,28243053000000.0,level
2012-12-31,31015187000000.0,level
2013-12-31,35999025000000.0,level
2014-12-31,39675833000000.0,level
2015-12-31,40884134000000.0,level
2016-12-31,46971150000000.0,level
2017-12-31,54378858000000.0,level
2018-12-31,61819536000000.0,level
2019-12-31,69532627000000.0,level
2020-12-31,70649033000000.0,level
2021-12-31,83951588000000.0,level
2022-12-31,103765518000000.0,level
2023-12-31,119442290000000.0,level
2024-12-31,136693318000000.0,level
2025-12-31,157741141500000.0,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,188188133626000.0,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,215988277105000.0,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,242967218792000.0,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,271566238867000.0,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,299028075543000.0,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,326326260159000.0,IMF WEO estimate/projection (country update 9/29/2025)
