date,value,transformation
1992-01-01,2875117000.0,level
1993-01-01,5151960000.0,level
1994-01-01,11881302000.0,level
1995-01-01,16639493000.0,level
1996-01-01,21035121000.0,level
1997-01-01,22165919000.0,level
1998-01-01,22135221000.0,level
1999-01-01,16870511000.0,level
2000-01-01,18291996000.0,level
2001-01-01,22152687000.0,level
2002-01-01,24636597000.0,level
2003-01-01,30833691000.0,level
2004-01-01,43151645000.0,level
2005-01-01,57124750000.0,level
2006-01-01,81003498000.0,level
2007-01-01,104849915000.0,level
2008-01-01,133441648000.0,level
2009-01-01,115308687000.0,level
2010-01-01,148047348000.0,level
2011-01-01,192626466000.0,level
2012-01-01,207998572000.0,level
2013-01-01,236634603000.0,level
2014-01-01,221415615000.0,level
2015-01-01,184388406000.0,level
2016-01-01,137278320000.0,level
2017-01-01,166805886000.0,level
2018-01-01,179339976000.0,level
2019-01-01,181667096000.0,level
2020-01-01,171082365000.0,level
2021-01-01,197112256000.0,level
2022-01-01,225496328000.0,level
2023-01-01,261840102000.0,level
2024-01-01,291480274000.0,level
2025-01-01,302745769000.0,level
2026-01-01,360455769000.0,level
2027-01-01,385965792000.0,level
2028-01-01,410770579000.0,level
2029-01-01,439139761000.0,level
2030-01-01,468832024000.0,level
2031-01-01,501684006000.0,level
