date,value,transformation
1992-01-01,17048344.0,level
1993-01-01,16900000.0,level
1994-01-01,15800000.0,level
1995-01-01,15675800.0,level
1996-01-01,15480600.0,level
1997-01-01,15188200.0,level
1998-01-01,14955300.0,level
1999-01-01,14901600.0,level
2000-01-01,14883626.0,level
2001-01-01,14858335.0,level
2002-01-01,14858948.0,level
2003-01-01,14909018.0,level
2004-01-01,15012985.0,level
2005-01-01,15147029.0,level
2006-01-01,15308084.0,level
2007-01-01,15484192.0,level
2008-01-01,15674000.0,level
2009-01-01,16092763.0,level
2010-01-01,16321714.0,level
2011-01-01,16556949.0,level
2012-01-01,16791721.0,level
2013-01-01,17035010.0,level
2014-01-01,17287554.0,level
2015-01-01,17541804.0,level
2016-01-01,17792672.0,level
2017-01-01,18036224.0,level
2018-01-01,18275233.0,level
2019-01-01,18512781.0,level
2020-01-01,18754943.0,level
2021-01-01,19000687.0,level
2022-01-01,19634983.0,level
2023-01-01,19900325.0,level
2024-01-01,20158621.0,level
2025-01-01,20380366.0,level
2026-01-01,20594360.0,level
2027-01-01,20810600.0,level
2028-01-01,21018706.0,level
2029-01-01,21228894.0,level
2030-01-01,21441182.0,level
2031-01-01,21655594.0,level
