date,value,transformation
1992-12-31,0.020919,level
1993-12-31,0.276147,level
1994-12-31,4.383024,level
1995-12-31,11.200008,level
1996-12-31,15.277065,level
1997-12-31,17.441345,level
1998-12-31,18.224173,level
1999-12-31,20.3564,level
2000-12-31,23.374191,level
2001-12-31,25.181299,level
2002-12-31,26.235147,level
2003-12-31,28.747174,level
2004-12-31,32.510801,level
2005-12-31,37.156822,level
2006-12-31,43.812977,level
2007-12-31,49.280714,level
2008-12-31,58.471978,level
2009-12-31,60.839725,level
2010-12-31,71.85588,level
2011-12-31,84.787258,level
2012-12-31,87.054684,level
2013-12-31,93.817316,level
2014-12-31,97.43948,level
2015-12-31,98.498686,level
2016-12-31,111.098546,level
2017-12-31,121.613785,level
2018-12-31,130.108551,level
2019-12-31,126.168755,level
2020-12-31,124.875175,level
2021-12-31,129.063004,level
2022-12-31,144.313317,level
2023-12-31,152.415755,level
2024-12-31,162.09881,level
2025-12-31,170.820361,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,189.386617,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,203.728746,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,218.253711,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,231.362094,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,241.47245,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,249.816438,IMF WEO estimate/projection (country update 9/29/2025)
