date,value,transformation
1992-01-01,5625734435000.0,level
1993-01-01,5108166867000.0,level
1994-01-01,4465571741000.0,level
1995-01-01,4099394859000.0,level
1996-01-01,4119891833000.0,level
1997-01-01,4189929994000.0,level
1998-01-01,4110321324000.0,level
1999-01-01,4221300000000.0,level
2000-01-01,4635000000000.0,level
2001-01-01,5260700000000.0,level
2002-01-01,5776200000000.0,level
2003-01-01,6313400000000.0,level
2004-01-01,6919400000000.0,level
2005-01-01,7590594000000.0,level
2006-01-01,8402904900000.0,level
2007-01-01,9150763400000.0,level
2008-01-01,9452738600000.0,level
2009-01-01,9566171500000.0,level
2010-01-01,10264502000000.0,level
2011-01-01,11034339600000.0,level
2012-01-01,11586056700000.0,level
2013-01-01,12269634000000.0,level
2014-01-01,12797228300000.0,level
2015-01-01,12925200500000.0,level
2016-01-01,13041527300000.0,level
2017-01-01,13550147000000.0,level
2018-01-01,14105702900000.0,level
2019-01-01,14740459500000.0,level
2020-01-01,14357207600000.0,level
2021-01-01,14945853200000.0,level
2022-01-01,15424120400000.0,level
2023-01-01,16210750500000.0,level
2024-01-01,17021288000000.0,level
2025-01-01,18125161775000.0,level
2026-01-01,18960618297000.0,level
2027-01-01,19794928352000.0,level
2028-01-01,20449915288000.0,level
2029-01-01,21185302155000.0,level
2030-01-01,21947629769000.0,level
2031-01-01,22740701871000.0,level
