date,value,transformation
1992-01-01,7.50239,level
1993-01-01,14.100873,level
1994-01-01,20.9034,level
1995-01-01,22.03837,level
1996-01-01,12.576744,level
1997-01-01,11.992632,level
1998-01-01,10.270641,level
1999-01-01,16.762557,level
2000-01-01,20.141688,level
2001-01-01,20.603876,level
2002-01-01,23.12992,level
2003-01-01,24.819756,level
2004-01-01,27.088307,level
2005-01-01,31.597876,level
2006-01-01,32.884829,level
2007-01-01,30.979819,level
2008-01-01,28.471101,level
2009-01-01,29.298008,level
2010-01-01,27.18216,level
2011-01-01,30.30114,level
2012-01-01,26.493371,level
2013-01-01,26.482808,level
2014-01-01,24.50181,level
2015-01-01,22.495753,level
2016-01-01,22.75424,level
2017-01-01,24.298358,level
2018-01-01,24.273714,level
2019-01-01,23.75885,level
2020-01-01,22.345233,level
2021-01-01,25.174109,level
2022-01-01,27.830235,level
2023-01-01,24.564518,level
2024-01-01,24.628904,level
2025-01-01,24.518675,level
2026-01-01,27.939294,level
2027-01-01,27.891753,level
2028-01-01,28.651569,level
2029-01-01,29.906639,level
2030-01-01,30.55262,level
2031-01-01,31.123266,level
