date,value,transformation
1994-12-31,7.535613,level
1995-12-31,10.982635,level
1996-12-31,12.959477,level
1997-12-31,13.00789,level
1998-12-31,13.11573,level
1999-12-31,13.464864,level
2000-12-31,12.752905,level
2001-12-31,10.475,level
2002-12-31,9.35,level
2003-12-31,8.8,level
2004-12-31,8.375,level
2005-12-31,8.1,level
2006-12-31,7.75,level
2007-12-31,7.275,level
2008-12-31,6.625,level
2009-12-31,6.525,level
2010-12-31,5.775,level
2011-12-31,5.4,level
2012-12-31,5.3,level
2013-12-31,5.25,level
2014-12-31,5.075,level
2015-12-31,4.975,level
2016-12-31,4.975,level
2017-12-31,4.9,level
2018-12-31,4.85,level
2019-12-31,4.8,level
2020-12-31,4.925,level
2021-12-31,4.9,level
2022-12-31,4.875,level
2023-12-31,4.725,level
2024-12-31,4.65,level
2025-12-31,4.638407,IMF WEO estimate/projection (country update 9/29/2025)
2026-12-31,4.573558,IMF WEO estimate/projection (country update 9/29/2025)
2027-12-31,4.52698,IMF WEO estimate/projection (country update 9/29/2025)
2028-12-31,4.486974,IMF WEO estimate/projection (country update 9/29/2025)
2029-12-31,4.439061,IMF WEO estimate/projection (country update 9/29/2025)
2030-12-31,4.395838,IMF WEO estimate/projection (country update 9/29/2025)
2031-12-31,4.352974,IMF WEO estimate/projection (country update 9/29/2025)
