date,value,transformation
1992-01-31,17.39420289855072,level
1992-02-29,17.63466666666668,level
1992-03-31,17.44833333333333,level
1992-04-30,18.63272727272728,level
1992-05-31,19.52238095238096,level
1992-06-30,20.86833333333333,level
1992-07-31,20.19304347826087,level
1992-08-31,19.65539682539682,level
1992-09-30,20.18712121212121,level
1992-10-31,20.05181818181818,level
1992-11-30,18.89555555555555,level
1992-12-31,17.98246376811595,level
1993-01-31,17.30746031746031,level
1993-02-28,18.19133333333332,level
1993-03-31,18.4976811594203,level
1993-04-30,18.485,level
1993-05-31,18.22825396825397,level
1993-06-30,17.46560606060606,level
1993-07-31,16.3,level
1993-08-31,16.49409090909091,level
1993-09-30,15.93348484848485,level
1993-10-31,16.52206349206349,level
1993-11-30,15.24,level
1993-12-31,13.42826086956522,level
1994-01-31,14.12253968253968,level
1994-02-28,13.7625,level
1994-03-31,13.49985507246377,level
1994-04-30,15.06460317460317,level
1994-05-31,16.34803030303031,level
1994-06-30,17.2689393939394,level
1994-07-31,18.04650793650793,level
1994-08-31,17.07449275362319,level
1994-09-30,16.24333333333333,level
1994-10-31,16.52603174603174,level
1994-11-30,17.13999999999999,level
1994-12-31,16.23439393939394,level
1995-01-31,16.88045454545455,level
1995-02-28,17.45533333333334,level
1995-03-31,17.36826086956521,level
1995-04-30,18.65583333333332,level
1995-05-31,18.55492753623188,level
1995-06-30,17.32030303030303,level
1995-07-31,16.15539682539682,level
1995-08-31,16.56536231884059,level
1995-09-30,16.8136507936508,level
1995-10-31,16.16818181818182,level
1995-11-30,16.87530303030302,level
1995-12-31,18.15174603174603,level
1996-01-31,17.91710144927536,level
1996-02-29,17.64253968253969,level
1996-03-31,19.37015873015874,level
1996-04-30,20.79636363636364,level
1996-05-31,19.16811594202899,level
1996-06-30,18.77683333333332,level
1996-07-31,19.58188405797101,level
1996-08-31,20.37939393939393,level
1996-09-30,22.41904761904762,level
1996-10-31,23.60260869565217,level
1996-11-30,22.58507936507937,level
1996-12-31,23.70621212121212,level
1997-01-31,23.4063768115942,level
1997-02-28,20.67483333333334,level
1997-03-31,19.56873015873016,level
1997-04-30,18.08409090909092,level
1997-05-31,19.52772727272727,level
1997-06-30,18.07603174603174,level
1997-07-31,18.48840579710144,level
1997-08-31,18.81031746031747,level
1997-09-30,18.77530303030303,level
1997-10-31,20.1531884057971,level
1997-11-30,19.29633333333333,level
1997-12-31,17.35942028985507,level
1998-01-31,15.32015151515151,level
1998-02-28,14.28783333333333,level
1998-03-31,13.33106060606061,level
1998-04-30,13.76318181818182,level
1998-05-31,14.03746031746032,level
1998-06-30,12.8769696969697,level
1998-07-31,12.88782608695652,level
1998-08-31,12.57396825396825,level
1998-09-30,13.87954545454546,level
1998-10-31,13.3660606060606,level
1998-11-30,11.99412698412699,level
1998-12-31,10.51072463768117,level
1999-01-31,11.46174603174603,level
1999-02-28,10.838,level
1999-03-31,13.3031884057971,level
1999-04-30,15.89924242424243,level
1999-05-31,16.24142857142857,level
1999-06-30,16.53242424242423,level
1999-07-31,18.97166666666666,level
1999-08-31,20.41212121212121,level
1999-09-30,22.99590909090909,level
1999-10-31,22.04619047619046,level
1999-11-30,24.33954545454546,level
1999-12-31,25.10956521739132,level
2000-01-31,25.40571428571428,level
2000-02-29,27.37095238095238,level
2000-03-31,27.4944927536232,level
2000-04-30,23.76700000000001,level
2000-05-31,27.42420289855073,level
2000-06-30,29.83151515151515,level
2000-07-31,28.33857142857143,level
2000-08-31,30.0063768115942,level
2000-09-30,32.43857142857142,level
2000-10-31,31.64954545454545,level
2000-11-30,32.60651515151515,level
2000-12-31,25.31857142857142,level
2001-01-31,25.95884057971015,level
2001-02-28,27.43133333333333,level
2001-03-31,25.28424242424242,level
2001-04-30,25.90634920634921,level
2001-05-31,27.49028985507246,level
2001-06-30,27.10904761904761,level
2001-07-31,24.94363636363637,level
2001-08-31,25.92217391304347,level
2001-09-30,25.42883333333334,level
2001-10-31,21.05666666666667,level
2001-11-30,18.72878787878789,level
2001-12-31,18.61460317460317,level
2002-01-31,19.33057971014493,level
2002-02-28,20.15816666666667,level
2002-03-31,23.82666666666668,level
2002-04-30,25.51075757575758,level
2002-05-31,25.71971014492753,level
2002-06-30,24.57333333333334,level
2002-07-31,25.7604347826087,level
2002-08-31,26.74075757575757,level
2002-09-30,28.32412698412698,level
2002-10-31,27.44826086956522,level
2002-11-30,24.65047619047619,level
2002-12-31,27.9630303030303,level
2003-01-31,30.53391304347826,level
2003-02-28,32.926,level
