date,value,transformation
2014-01-01,28173674600000.0,level
2014-04-01,30467301500000.0,level
2014-07-01,31833920600000.0,level
2014-10-01,33938290200000.0,level
2015-01-01,27743682500000.0,level
2015-04-01,29526184300000.0,level
2015-07-01,31292771000000.0,level
2015-10-01,33396226200000.0,level
2016-01-01,27686568100000.0,level
2016-04-01,29621129200000.0,level
2016-07-01,31311265600000.0,level
2016-10-01,33576100300000.0,level
2017-01-01,28049401000000.0,level
2017-04-01,30314841300000.0,level
2017-07-01,32137396900000.0,level
2017-10-01,33925567600000.0,level
2018-01-01,28768439500000.0,level
2018-04-01,31142231900000.0,level
2018-07-01,32983895000000.0,level
2018-10-01,35024491800000.0,level
2019-01-01,29168260400000.0,level
2019-04-01,31565376300000.0,level
2019-07-01,33897148100000.0,level
2019-10-01,36100031300000.0,level
2020-01-01,29609467100000.0,level
2020-04-01,29255232300000.0,level
2020-07-01,32767887000000.0,level
2020-10-01,35629085500000.0,level
2021-01-01,29907688000000.0,level
2021-04-01,32596309100000.0,level
2021-07-01,34473963400000.0,level
2021-10-01,37749506900000.0,level
2022-01-01,30913053700000.0,level
2022-04-01,31386209600000.0,level
2022-07-01,33458054500000.0,level
2022-10-01,37036311200000.0,level
2023-01-01,30656214900000.0,level
2023-04-01,33063563500000.0,level
2023-07-01,35514598300000.0,level
2023-10-01,38959456400000.0,level
2024-01-01,32462099000000.0,level
2024-04-01,34682481500000.0,level
2024-07-01,36861828200000.0,level
2024-10-01,40988882200000.0,level
2025-01-01,32887153000000.0,level
2025-04-01,35042668400000.0,level
2025-07-01,37138301000000.0,level
2025-10-01,41378827400000.0,level
2026-01-01,32837291400000.0,level
