date,value,transformation
2019-11-01,9.9703,level
2019-12-01,9.9106,level
2020-01-01,10.0185,level
2020-02-01,9.8735,level
2020-03-01,9.2717,level
2020-04-01,11.4662,level
2020-05-01,11.3293,level
2020-06-01,10.5963,level
2020-07-01,10.3225,level
2020-08-01,10.0562,level
2020-09-01,9.6826,level
2020-10-01,9.413,level
2020-11-01,9.4494,level
2020-12-01,9.4237,level
2021-01-01,9.3367,level
2021-02-01,9.2309,level
2021-03-01,8.8134,level
2021-04-01,8.4867,level
2021-05-01,8.5123,level
2021-06-01,8.4558,level
2021-07-01,8.4986,level
2021-08-01,8.6658,level
2021-09-01,8.7701,level
2021-10-01,8.9783,level
2021-11-01,9.1658,level
2021-12-01,8.9937,level
2022-01-01,9.0649,level
2022-02-01,9.2008,level
2022-03-01,11.2344,level
2022-04-01,13.033,level
2022-05-01,13.4657,level
2022-06-01,13.0468,level
2022-07-01,12.828,level
2022-08-01,13.2884,level
2022-09-01,13.6691,level
2022-10-01,13.8616,level
2022-11-01,14.0275,level
2022-12-01,14.7253,level
2023-01-01,14.8934,level
2023-02-01,15.0266,level
2023-03-01,15.0045,level
2023-04-01,14.9288,level
2023-05-01,15.0313,level
2023-06-01,14.7586,level
2023-07-01,15.2184,level
2023-08-01,15.3777,level
2023-09-01,15.3008,level
2023-10-01,14.8721,level
2023-11-01,14.4797,level
2023-12-01,14.048,level
2024-01-01,13.6463,level
2024-02-01,12.9514,level
2024-03-01,12.3789,level
2024-04-01,12.1217,level
2024-05-01,12.3221,level
2024-06-01,12.7072,level
2024-07-01,12.649,level
2024-08-01,12.7198,level
2024-09-01,12.8343,level
2024-10-01,12.6026,level
2024-11-01,12.1901,level
2024-12-01,12.3255,level
2025-01-01,11.5914,level
2025-02-01,12.7991,level
2025-03-01,13.6416,level
2025-04-01,15.0427,level
2025-05-01,14.9815,level
2025-06-01,15.1889,level
2025-07-01,15.134,level
2025-08-01,15.1884,level
2025-09-01,15.4952,level
2025-10-01,15.8933,level
2025-11-01,16.0875,level
2025-12-01,15.8713,level
2026-01-01,16.051,level
2026-02-01,16.0343,level
2026-03-01,16.2393,level
2026-04-01,16.5307,level
2026-05-01,17.1001,level
2026-06-01,16.2317,level
2026-07-01,15.2178,level
2026-08-01,14.9126,level
2026-09-01,14.766,level
