date,value,transformation
2019-11-01,8.974,level
2019-12-01,9.0583,level
2020-01-01,9.1006,level
2020-02-01,9.1474,level
2020-03-01,9.615,level
2020-04-01,10.0335,level
2020-05-01,10.0392,level
2020-06-01,10.1621,level
2020-07-01,10.1655,level
2020-08-01,9.9382,level
2020-09-01,9.5294,level
2020-10-01,9.6438,level
2020-11-01,9.7758,level
2020-12-01,9.5392,level
2021-01-01,9.4445,level
2021-02-01,9.2853,level
2021-03-01,9.1201,level
2021-04-01,9.5978,level
2021-05-01,9.7109,level
2021-06-01,9.7178,level
2021-07-01,9.7963,level
2021-08-01,9.5917,level
2021-09-01,9.5514,level
2021-10-01,9.6489,level
2021-11-01,9.7251,level
2021-12-01,9.7999,level
2022-01-01,9.8403,level
2022-02-01,10.3126,level
2022-03-01,10.5096,level
2022-04-01,11.2759,level
2022-05-01,11.6017,level
2022-06-01,11.839,level
2022-07-01,11.4458,level
2022-08-01,11.0791,level
2022-09-01,11.0328,level
2022-10-01,10.9367,level
2022-11-01,11.1084,level
2022-12-01,11.4173,level
2023-01-01,12.2033,level
2023-02-01,11.6864,level
2023-03-01,11.423,level
2023-04-01,11.3006,level
2023-05-01,11.6443,level
2023-06-01,12.1205,level
2023-07-01,11.9811,level
2023-08-01,11.777,level
2023-09-01,11.7843,level
2023-10-01,11.9922,level
2023-11-01,12.187,level
2023-12-01,12.1421,level
2024-01-01,11.7731,level
2024-02-01,11.4488,level
2024-03-01,11.1147,level
2024-04-01,11.2704,level
2024-05-01,11.6157,level
2024-06-01,12.0191,level
2024-07-01,12.1566,level
2024-08-01,11.8338,level
2024-09-01,11.8395,level
2024-10-01,11.6284,level
2024-11-01,11.4017,level
2024-12-01,11.158,level
2025-01-01,11.6301,level
2025-02-01,11.9342,level
2025-03-01,12.8137,level
2025-04-01,13.503,level
2025-05-01,13.774,level
2025-06-01,14.0376,level
2025-07-01,14.9858,level
2025-08-01,15.4696,level
2025-09-01,15.6151,level
2025-10-01,15.6644,level
2025-11-01,15.661,level
2025-12-01,14.8574,level
2026-01-01,14.5111,level
2026-02-01,14.4299,level
2026-03-01,14.2008,level
2026-04-01,14.1995,level
2026-05-01,14.0983,level
2026-06-01,14.4632,level
2026-07-01,13.5775,level
2026-08-01,13.5663,level
2026-09-01,13.4123,level
